% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000292           1       230        65 access
  0.00    0.000009           1         8           arch_prctl
  0.00    0.000028           7         4           bind
  0.00    0.000041           1        35           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000007           2         4           clock_getres
  0.00    0.002109          19       113           clone
  0.00    0.031009           2     13382           close
  0.00    0.005786          66        88        73 connect
  0.00    0.000237           3        68           dup2
  0.00    0.000010           1        19        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000013           2         8           fchdir
  0.00    0.021674           7      3087           fcntl
  0.00    0.027943           2     16870           fstat
  0.00    0.000029           5         6           ftruncate
 27.35  634.799659        3230    196531     68030 futex
  0.00    0.000012           1         9           getcwd
  0.00    0.098565           5     19602           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000014           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000002           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001189          19        63         2 getsockname
  0.00    0.005589         105        53           getsockopt
  0.00    0.000303           3        96           gettid
  0.00    0.000002           0         5           getuid
  0.00    0.000128           2        71         7 ioctl
  0.00    0.027161           1     28056        47 lseek
  0.01    0.257969           3     88698        18 lstat
  0.00    0.002080          20       105           madvise
  0.00    0.000005           3         2         2 mkdir
  0.00    0.014054           6      2536           mmap
  0.00    0.016494           2      7996           mprotect
  0.00    0.002044           3       774           munmap
  0.00    0.039829           3     14162       694 openat
  0.00    0.000013           1        16           pipe
  0.00    0.008404          15       564           poll
  0.00    0.000478           5        94           prctl
  0.00    0.000032           2        18           prlimit64
  0.00    0.055307           1     40869           read
  0.00    0.000052           1        49         2 readlink
 70.58 1638.431146        1637   1000900           recvfrom
  0.00    0.008392         839        10           recvmsg
  0.00    0.000102           1       127           rt_sigaction
  0.00    0.001600           4       361           rt_sigprocmask
  0.00    0.000205           2        83           rt_sigreturn
  0.00    0.000714           4       198           sched_getaffinity
  0.01    0.235935          12     20165           sched_yield
  0.00    0.000059          59         1           sendmmsg
  0.53   12.232894          12   1000414           sendto
  0.00    0.001949          19       101           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.00    0.019183         121       159           setsockopt
  0.00    0.000002           2         1           shutdown
  0.01    0.126390        1436        88           socket
  0.00    0.000008           4         2           socketpair
  0.02    0.520678           3    163337      3094 stat
  0.00    0.000020           4         5           sysinfo
  0.00    0.000015           3         5           uname
  0.00    0.000042          14         3           unlink
  0.00    0.000281           1       191           utimes
  1.48   34.322298     2018959        17           wait4
  0.00    0.088250           6     15071           write
------ ----------- ----------- --------- --------- ----------------
100.00 2321.408739               2635572     72045 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000418           2       230        65 access
  0.00    0.000005           1         8           arch_prctl
  0.00    0.000026           7         4           bind
  0.00    0.000084           2        35           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000019           5         4           clock_getres
  0.00    0.001252          11       113           clone
  0.00    0.028416           2     13382           close
  0.00    0.005001          57        88        73 connect
  0.00    0.000135           2        68           dup2
  0.00    0.000005           0        19        11 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000020           3         8           fchdir
  0.00    0.022741           7      3087           fcntl
  0.00    0.024897           1     16870           fstat
  0.00    0.000069          12         6           ftruncate
 26.07  570.150689        2417    235859     82498 futex
  0.00    0.000011           1         9           getcwd
  0.00    0.099509           5     19602           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000024           2        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000015           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.002941          47        63         2 getsockname
  0.00    0.001212          23        53           getsockopt
  0.00    0.000222           2        96           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000025           0        71         7 ioctl
  0.00    0.025136           1     28054        47 lseek
  0.01    0.222234           3     88702        18 lstat
  0.00    0.001944          17       117           madvise
  0.00    0.000007           4         2         2 mkdir
  0.00    0.012027           5      2576           mmap
  0.00    0.016486           2      7589           mprotect
  0.00    0.001607           2       784           munmap
  0.00    0.039897           3     14162       694 openat
  0.00    0.000048           3        16           pipe
  0.00    0.030257          45       674           poll
  0.00    0.000319           3        94           prctl
  0.00    0.000043           2        18           prlimit64
  0.01    0.138893           3     40918           read
  0.00    0.000097           2        49         2 readlink
 71.82 1571.068465        1570   1000750           recvfrom
  0.00    0.008374         837        10           recvmsg
  0.00    0.000123           1       127           rt_sigaction
  0.00    0.000983           3       361           rt_sigprocmask
  0.00    0.000628           8        76           rt_sigreturn
  0.00    0.000590           3       198           sched_getaffinity
  0.01    0.319778           9     34722           sched_yield
  0.00    0.000056          56         1           sendmmsg
  0.55   11.948709          12   1000469           sendto
  0.00    0.000482           5       101           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.00    0.030843         194       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.03    0.580879        6601        88           socket
  0.00    0.000000           0         2           socketpair
  0.02    0.536160           3    163345      3094 stat
  0.00    0.000030           6         5           sysinfo
  0.00    0.000012           2         5           uname
  0.00    0.000002           1         3           unlink
  0.00    0.000524           3       191           utimes
  1.47   32.064607     1886153        17           wait4
  0.00    0.018893           1     15182           write
------ ----------- ----------- --------- --------- ----------------
100.00 2187.406895               2689290     86513 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000261           1       234        69 access
  0.00    0.000016           2         9           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000089           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000009           2         4           clock_getres
  0.00    0.001525          13       113           clone
  0.00    0.028693           2     13393           close
  0.00    0.002364          27        88        73 connect
  0.00    0.000203           3        68           dup2
  0.00    0.000065           3        20        11 execve
  0.00    0.000000           0         2           faccessat
