% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000381           2       230        65 access
  0.00    0.000007           1         8           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000055           2        35           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000018           5         4           clock_getres
  0.00    0.000930           9       105           clone
  0.00    0.029472           2     13360           close
  0.00    0.001205          15        80        65 connect
  0.00    0.000309           5        60           dup2
  0.00    0.000049           3        19        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000032           4         8           fchdir
  0.00    0.004684           2      3055           fcntl
  0.00    0.025158           1     16856           fstat
  0.00    0.000101          17         6           ftruncate
 29.25  570.368983        2244    254169     92901 futex
  0.00    0.000000           0         9           getcwd
  0.00    0.092185           5     19574           getdents
  0.00    0.000002           1         3           getegid
  0.00    0.000033           2        15           geteuid
  0.00    0.000002           1         3           getgid
  0.00    0.000016           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000649          12        55         2 getsockname
  0.00    0.002531          56        45           getsockopt
  0.00    0.000287           3        88           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000054           1        71         7 ioctl
  0.00    0.022516           1     28056        47 lseek
  0.01    0.232172           3     88654        18 lstat
  0.00    0.001867          20        95           madvise
  0.00    0.000010           5         2         2 mkdir
  0.00    0.013159           5      2520           mmap
  0.00    0.015221           2      7949           mprotect
  0.00    0.002197           3       762           munmap
  0.00    0.039147           3     14148       694 openat
  0.00    0.000006           0        16           pipe
  0.00    0.003638           5       766           poll
  0.00    0.000342           4        86           prctl
  0.00    0.000048           3        18           prlimit64
  0.01    0.156046           4     40901           read
  0.00    0.000089           2        50         2 readlink
 68.42 1334.408333        1333   1001116           recvfrom
  0.00    0.008369         837        10           recvmsg
  0.00    0.000285           2       127           rt_sigaction
  0.00    0.001195           4       328           rt_sigprocmask
  0.00    0.000109           1        84           rt_sigreturn
  0.00    0.000840           5       182           sched_getaffinity
  0.01    0.211048           8     27814           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.59   11.522695          12   1000495           sendto
  0.00    0.000315           3        93           set_robust_list
  0.00    0.000010           3         3           set_tid_address
  0.00    0.001400          10       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.046283         579        80           socket
  0.00    0.000000           0         2           socketpair
  0.03    0.519827           3    163237      3094 stat
  0.00    0.000038           8         5           sysinfo
  0.00    0.000002           0         5           uname
  0.00    0.000042          14         3           unlink
  0.00    0.000459           2       191           utimes
  1.66   32.430952     1907703        17           wait4
  0.00    0.047272           3     15244           write
------ ----------- ----------- --------- --------- ----------------
100.00 1950.213088               2701081     96908 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000448           2       230        65 access
  0.00    0.000012           2         8           arch_prctl
  0.00    0.000006           2         4           bind
  0.00    0.000085           2        35           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.000964           9       105           clone
  0.00    0.031599           2     13368           close
  0.00    0.001782          19        96        73 connect
  0.00    0.000097           2        60           dup2
  0.00    0.000067           4        19        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000040           5         8           fchdir
  0.00    0.013261           4      3055           fcntl
  0.00    0.028537           2     16856           fstat
  0.00    0.000097          16         6           ftruncate
 29.14  582.247649        2149    270970    100485 futex
  0.00    0.000017           2         9           getcwd
  0.00    0.098606           5     19574           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000045           3        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000004           2         2           getppid
  0.00    0.002303          42        55         2 getsockname
  0.00    0.005333         119        45           getsockopt
  0.00    0.000266           3        88           gettid
  0.00    0.000010           2         5           getuid
  0.00    0.000015           0        94         7 ioctl
  0.00    0.036242           1     28054        47 lseek
  0.01    0.239076           3     88642        18 lstat
  0.00    0.000805           8       105           madvise
  0.00    0.000013           7         2         2 mkdir
  0.00    0.012377           5      2546           mmap
  0.00    0.020482           3      7634           mprotect
  0.00    0.001625           2       766           munmap
  0.00    0.043646           3     14148       694 openat
  0.00    0.000063           4        16           pipe
  0.00    0.004784           6       820           poll
  0.00    0.000407           5        86           prctl
  0.00    0.000075           4        18           prlimit64
  0.01    0.236716           6     40909           read
  0.00    0.000049           1        49         2 readlink
 68.54 1369.722595        1370    999546           recvfrom
  0.00    0.007979         887         9           recvmsg
  0.00    0.000425           3       127           rt_sigaction
  0.00    0.000858           3       329           rt_sigprocmask
  0.00    0.000170           2        72           rt_sigreturn
  0.00    0.000792           4       182           sched_getaffinity
  0.01    0.215131           9     24867           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.57   11.449654          11   1000522           sendto
  0.00    0.000303           3        93           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.00    0.010714          79       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.02    0.327742        3724        88           socket
  0.00    0.000000           0         2           socketpair
  0.03    0.566690           3    163239      3094 stat
  0.00    0.000043           9         5           sysinfo
  0.00    0.000014           3         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.001012           5       191           utimes
  1.65   32.874550     1933797        17           wait4
  0.00    0.082380           5     15259           write
------ ----------- ----------- --------- --------- ----------------
100.00 1998.288699               2713224    104500 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000462           2       234        69 access
  0.00    0.000004           0         9           arch_prctl
  0.00    0.000012           3         4           bind
  0.00    0.000026           1        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000008           2         4           clock_getres
  0.00    0.000980           9       105           clone
  0.00    0.030110           2     13371           close
  0.00    0.002492          31        80        65 connect
  0.00    0.000470           8        60           dup2
  0.00    0.000005           0        20        11 execve
  0.00    0.000012           6         2           faccessat
  0.00    0.000016           2         8           fchdir
  0.00    0.012848           4      3055           fcntl
  0.00    0.026528           2     16867           fstat
  0.00    0.000056           9         6           ftruncate
 29.36  531.864458        2385    222970     76479 futex
  0.00    0.000012           1         9           getcwd
  0.01    0.091061           5     19578           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000019           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000007           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.006372         116        55         2 getsockname
  0.00    0.002911          65        45           getsockopt
  0.00    0.000202           2        88           gettid
  0.00    0.000004           1         5           getuid
  0.00    0.000017           0        71         7 ioctl
  0.00    0.024763           1     28054        47 lseek
  0.01    0.225211           3     88644        18 lstat
  0.00    0.001611          19        87           madvise
  0.00    0.000005           3         2         2 mkdir
  0.00    0.016107           6      2538           mmap
  0.00    0.015980           2      7380           mprotect
  0.00    0.001951           3       760           munmap
  0.00    0.039926           3     14159       694 openat
  0.00    0.000030           2        16           pipe
  0.00    0.007303          12       616           poll
  0.00    0.000305           4        86           prctl
  0.00    0.000033           2        18           prlimit64
  0.01    0.182445           4     40869           read
  0.00    0.000077           2        49         2 readlink
 68.34 1238.167502        1237   1000666           recvfrom
  0.00    0.008366         837        10           recvmsg
  0.00    0.000281           2       127           rt_sigaction
  0.00    0.000881           3       329           rt_sigprocmask
  0.00    0.000184           2        92           rt_sigreturn
  0.00    0.000714           4       183           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.01    0.238911           9     27911           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.53    9.642614          10   1000420           sendto
  0.00    0.000226           2        93           set_robust_list
  0.00    0.000003           1         3           set_tid_address
  0.00    0.014675         109       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.01    0.160192        2002        80           socket
  0.00    0.000000           0         2           socketpair
  0.03    0.549048           3    163243      3094 stat
  0.00    0.000029           6         5           sysinfo
  0.00    0.000005           1         5           uname
  0.00    0.000053          18         3           unlink
  0.00    0.001391           7       191           utimes
  1.67   30.301070     1782416        17           wait4
  0.00    0.051334           3     15093           write
------ ----------- ----------- --------- --------- ----------------
100.00 1811.692318               2668610     80490 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000148           1       227        62 access
  0.00    0.000006           1         7           arch_prctl
  0.00    0.000011           3         4           bind
  0.00    0.000081           2        34           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000012           3         4           clock_getres
  0.00    0.000883           8       105           clone
  0.00    0.029874           2     13358           close
  0.00    0.001143          14        80        65 connect
  0.00    0.000084           1        60           dup2
  0.00    0.000039           2        18        11 execve
  0.00    0.000007           4         2           faccessat
  0.00    0.000031           4         8           fchdir
  0.00    0.004100           1      3055           fcntl
  0.00    0.027854           2     16854           fstat
  0.00    0.000047           8         6           ftruncate
 28.75  568.147661        2238    253919     97009 futex
  0.00    0.000002           0         9           getcwd
  0.00    0.098112           5     19574           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000044           3        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000004           2         2           getppid
  0.00    0.001541          28        55         2 getsockname
  0.00    0.005046         112        45           getsockopt
  0.00    0.000226           3        88           gettid
  0.00    0.000004           1         5           getuid
  0.00    0.000011           0        71         7 ioctl
  0.00    0.021063           1     28058        47 lseek
  0.01    0.260355           3     88646        18 lstat
  0.00    0.001483          16        95           madvise
  0.00    0.000012           6         2         2 mkdir
  0.00    0.012903           5      2492           mmap
  0.00    0.014621           2      7742           mprotect
  0.00    0.001903           2       769           munmap
  0.00    0.039311           3     14146       694 openat
  0.00    0.000007           0        16           pipe
  0.00    0.004551           6       814           poll
  0.00    0.000346           4        86           prctl
  0.00    0.000045           3        18           prlimit64
  0.00    0.055108           1     40885           read
  0.00    0.000050           1        49         2 readlink
 68.91 1361.986858        1357   1003446           recvfrom
  0.00    0.008304         830        10           recvmsg
  0.00    0.000322           3       127           rt_sigaction
  0.00    0.000839           3       328           rt_sigprocmask
  0.00    0.000176           2        89           rt_sigreturn
  0.00    0.000721           4       182           sched_getaffinity
  0.01    0.231932           7     31135           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.60   11.823713          12   1000519           sendto
  0.00    0.000260           3        93           set_robust_list
  0.00    0.000003           1         3           set_tid_address
  0.00    0.005779          43       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.073732         922        80           socket
  0.00    0.000001           1         2           socketpair
  0.03    0.524329           3    163247      3094 stat
  0.00    0.000041           8         5           sysinfo
