% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000473           2       234        69 access
  0.00    0.000022           2         9           arch_prctl
  0.00    0.000015           4         4           bind
  0.00    0.000158           4        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000007           2         4           clock_getres
  0.00    0.000954          10        97           clone
  0.03    0.042983           3     13203           close
  0.00    0.000246           5        46        28 connect
  0.00    0.000100           5        20           dup2
  0.00    0.000081           4        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000024           3         8           fchdir
  0.00    0.002477           1      2895           fcntl
  0.03    0.039027           2     16735           fstat
  0.00    0.000049           8         6           ftruncate
 97.50  148.936825         732    203394     23453 futex
  0.00    0.000013           1         9           getcwd
  0.09    0.135353           7     19322           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000021           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000007           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000033           2        15         2 getsockname
  0.00    0.000004           1         5           getsockopt
  0.00    0.000412           5        80           gettid
  0.00    0.000000           0         5           getuid
  0.00    0.000031           0        80         3 ioctl
  0.00    0.000009           5         2           kill
  0.03    0.042092           2     28004        47 lseek
  0.25    0.378853           4     88182        18 lstat
  0.00    0.000525          10        55           madvise
  0.00    0.000008           4         2         2 mkdir
  0.01    0.010686           5      2353           mmap
  0.01    0.022846           3      6842           mprotect
  0.00    0.002976           4       732           munmap
  0.04    0.060028           4     14029       694 openat
  0.00    0.000000           0        16           pipe
  0.00    0.000081           3        28           poll
  0.00    0.000745          10        78           prctl
  0.00    0.000048           3        18           prlimit64
  0.08    0.114949           3     40971           read
  0.00    0.000092           2        49         2 readlink
  0.90    1.380954        1354      1020           recvfrom
  0.00    0.006748         675        10           recvmsg
  0.00    0.000549           4       135           rt_sigaction
  0.00    0.001060           4       265           rt_sigprocmask
  0.00    0.000231           2       109           rt_sigreturn
  0.00    0.001374           8       167           sched_getaffinity
  0.00    0.000034          34         1           sched_setaffinity
  0.01    0.014720           5      3231           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.02    0.029518          29      1026           sendto
  0.00    0.000396           5        85           set_robust_list
  0.00    0.000006           2         3           set_tid_address
  0.00    0.000116           8        15           setsockopt
  0.00    0.000001           1         1           shutdown
  0.00    0.000117           3        43           socket
  0.00    0.000005           3         2           socketpair
  0.50    0.769020           5    162450      3097 stat
  0.00    0.000029           6         5           sysinfo
  0.00    0.000008           2         5           uname
  0.00    0.000011           4         3           unlink
  0.00    0.001214           6       191           utimes
  0.47    0.715129       42066        17           wait4
  0.02    0.037819           3     14352           write
------ ----------- ----------- --------- --------- ----------------
100.00  152.752312                620769     27429 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000698           3       234        69 access
  0.00    0.000032           4         9           arch_prctl
  0.00    0.000013           3         4           bind
  0.00    0.000165           4        38           brk
  0.00    0.000013           3         5           chdir
  0.00    0.000031           8         4           clock_getres
  0.00    0.000939          10        97           clone
  0.03    0.049482           4     13206           close
  0.00    0.000069           2        44        27 connect
  0.00    0.000001           0        20           dup2
  0.00    0.000098           4        23        14 execve
  0.00    0.000035          18         2           faccessat
  0.00    0.000049           6         8           fchdir
  0.00    0.003239           1      2895           fcntl
  0.03    0.044101           3     16739           fstat
  0.00    0.000135          23         6           ftruncate
 97.51  149.741008         738    203037     23683 futex
  0.00    0.000027           3         9           getcwd
  0.10    0.154631           8     19322           getdents
  0.00    0.000022           7         3           getegid
  0.00    0.000088           6        15           geteuid
  0.00    0.000019           6         3           getgid
  0.00    0.000043           5         9           getpid
  0.00    0.000014           7         2           getppid
  0.00    0.000011           1        15         2 getsockname
  0.00    0.000000           0         5           getsockopt
  0.00    0.000308           4        80           gettid
  0.00    0.000020           4         5           getuid
  0.00    0.000039           1        77         3 ioctl
  0.00    0.000019          10         2           kill
  0.03    0.044117           2     28038        47 lseek
  0.26    0.398637           5     88182        18 lstat
  0.00    0.001093          20        55           madvise
  0.00    0.000016           8         2         2 mkdir
  0.01    0.010761           5      2350           mmap
  0.02    0.024877           4      6723           mprotect
  0.00    0.003014           4       741           munmap
  0.04    0.068457           5     14033       694 openat
  0.00    0.000200          13        16           pipe
  0.00    0.000040           2        26           poll
  0.00    0.000618           8        78           prctl
  0.00    0.000096           5        18           prlimit64
  0.08    0.122029           3     41018           read
  0.00    0.000248           5        49         2 readlink
  0.80    1.231645        1184      1040           recvfrom
  0.01    0.008710         871        10           recvmsg
  0.00    0.000829           6       135           rt_sigaction
  0.00    0.000916           3       264           rt_sigprocmask
  0.00    0.000353           4        92           rt_sigreturn
  0.00    0.001324           8       167           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.04    0.060282           8      7866           sched_yield
  0.00    0.000010          10         1           sendmmsg
  0.02    0.035302          34      1025           sendto
  0.00    0.000326           4        85           set_robust_list
  0.00    0.000012           4         3           set_tid_address
  0.00    0.000066           4        15           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.000123           3        42           socket
  0.00    0.000000           0         2           socketpair
  0.51    0.781535           5    162450      3097 stat
  0.00    0.000066          13         5           sysinfo
  0.00    0.000009           2         5           uname
  0.00    0.000044          15         3           unlink
  0.00    0.000671           4       191           utimes
  0.49    0.752553       44268        17           wait4
  0.02    0.024916           2     14352           write
------ ----------- ----------- --------- --------- ----------------
100.00  153.569244                625019     27658 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000840           4       234        69 access
  0.00    0.000024           3         9           arch_prctl
  0.00    0.000025           6         4           bind
  0.00    0.000120           3        38           brk
  0.00    0.000012           2         5           chdir
  0.00    0.000020           5         4           clock_getres
  0.00    0.001192          12        97           clone
  0.03    0.050224           4     13203           close
  0.00    0.000352           8        46        28 connect
  0.00    0.000077           4        20           dup2
  0.00    0.000079           3        23        14 execve
  0.00    0.000028          14         2           faccessat
  0.00    0.000052           7         8           fchdir
  0.00    0.003029           1      2895           fcntl
  0.03    0.044622           3     16735           fstat
  0.00    0.000185          31         6           ftruncate
 97.20  152.045598         745    204045     23342 futex
  0.00    0.000009           1         9           getcwd
  0.10    0.159982           8     19322           getdents
  0.00    0.000014           5         3           getegid
  0.00    0.000085           6        15           geteuid
  0.00    0.000014           5         3           getgid
  0.00    0.000032           4         9           getpid
  0.00    0.000017           9         2           getppid
  0.00    0.000045           3        15         2 getsockname
  0.00    0.000002           0         5           getsockopt
  0.00    0.000422           5        80           gettid
  0.00    0.000025           5         5           getuid
  0.00    0.000025           0        80         3 ioctl
  0.00    0.000019          10         2           kill
  0.03    0.041774           1     28004        47 lseek
  0.26    0.400759           5     88182        18 lstat
  0.00    0.001964          28        71           madvise
  0.00    0.000016           8         2         2 mkdir
  0.01    0.013957           6      2381           mmap
  0.02    0.026589           4      7056           mprotect
  0.00    0.003486           5       748           munmap
  0.05    0.073276           5     14029       694 openat
  0.00    0.000149           9        16           pipe
  0.00    0.000252           9        28           poll
  0.00    0.000623           8        78           prctl
  0.00    0.000090           5        18           prlimit64
  0.07    0.111911           3     40966           read
  0.00    0.000192           4        49         2 readlink
  0.80    1.250081        1149      1088           recvfrom
  0.01    0.008399         840        10           recvmsg
  0.00    0.000694           5       135           rt_sigaction
  0.00    0.001023           4       265           rt_sigprocmask
  0.00    0.000459           4       111           rt_sigreturn
  0.00    0.001185           7       167           sched_getaffinity
  0.00    0.000033          33         1           sched_setaffinity
  0.19    0.303039          20     15503           sched_yield
  0.00    0.000068          68         1           sendmmsg
  0.02    0.032592          32      1026           sendto
  0.00    0.000421           5        85           set_robust_list
  0.00    0.000012           4         3           set_tid_address
  0.00    0.000000           0        15           setsockopt
  0.00    0.000001           1         1           shutdown
  0.00    0.000118           3        43           socket
  0.00    0.000005           3         2           socketpair
  0.51    0.798678           5    162450      3097 stat
  0.00    0.000031           6         5           sysinfo
  0.00    0.000015           3         5           uname
  0.00    0.000056          19         3           unlink
  0.00    0.001634           9       191           utimes
  0.65    1.010239       59426        17           wait4
  0.02    0.032520           2     14354           write
------ ----------- ----------- --------- --------- ----------------
100.00  156.423511                634033     27318 total
