% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001347           6       234        69 access
  0.00    0.000035           4         9           arch_prctl
  0.00    0.000016           4         4           bind
  0.00    0.000148           4        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000020           5         4           clock_getres
  0.00    0.001324          14        95           clone
  0.03    0.053947           4     13198           close
  0.00    0.000156           4        38        23 connect
  0.00    0.000046           3        18           dup2
  0.00    0.000141           6        23        14 execve
  0.00    0.000021          11         2           faccessat
  0.00    0.000035           4         8           fchdir
  0.00    0.003147           1      2887           fcntl
  0.03    0.048774           3     16735           fstat
  0.00    0.000052           9         6           ftruncate
 97.92  152.442365         750    203369     23430 futex
  0.00    0.000010           1         9           getcwd
  0.11    0.164806           9     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000040           3        15           geteuid
  0.00    0.000007           2         3           getgid
  0.00    0.000021           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000019           1        13         2 getsockname
  0.00    0.000004           1         3           getsockopt
  0.00    0.000417           5        78           gettid
  0.00    0.000012           2         5           getuid
  0.00    0.000010           0        71         3 ioctl
  0.00    0.000025           6         4           kill
  0.03    0.042406           2     28006        47 lseek
  0.25    0.396406           4     88180        18 lstat
  0.00    0.002148          36        60           madvise
  0.00    0.000012           6         2         2 mkdir
  0.01    0.012045           5      2361           mmap
  0.02    0.024276           4      6730           mprotect
  0.00    0.004455           6       744           munmap
  0.05    0.077415           6     14029       694 openat
  0.00    0.000054           3        16           pipe
  0.00    0.000167           6        30           poll
  0.00    0.000745          10        76           prctl
  0.00    0.000056           3        18           prlimit64
  0.07    0.111280           3     40956           read
  0.00    0.000196           4        49         2 readlink
  0.36    0.555789         544      1022           recvfrom
  0.00    0.006348         635        10           recvmsg
  0.00    0.000450           3       135           rt_sigaction
  0.00    0.001175           5       257           rt_sigprocmask
  0.00    0.000371           4        95           rt_sigreturn
  0.00    0.001456           9       163           sched_getaffinity
  0.00    0.000015          15         1           sched_setaffinity
  0.02    0.033884           6      6037           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.02    0.033942          33      1022           sendto
  0.00    0.000409           5        83           set_robust_list
  0.00    0.000012           4         3           set_tid_address
  0.00    0.000015           2         9           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.000090           2        38           socket
  0.00    0.000000           0         2           socketpair
  0.51    0.797883           5    162446      3097 stat
  0.00    0.000060          12         5           sysinfo
  0.00    0.000028           6         5           uname
  0.00    0.000091          30         3           unlink
  0.00    0.001185           6       191           utimes
  0.53    0.826746       48632        17           wait4
  0.02    0.033618           2     14348           write
------ ----------- ----------- --------- --------- ----------------
100.00  155.682178                623361     27401 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000943           4       234        69 access
  0.00    0.000039           4         9           arch_prctl
  0.00    0.000006           2         4           bind
  0.00    0.000203           5        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000030           8         4           clock_getres
  0.00    0.000646           7        95           clone
  0.03    0.040900           3     13203           close
  0.00    0.000289           7        42        25 connect
  0.00    0.000000           0        18           dup2
  0.00    0.000245          11        23        14 execve
  0.00    0.000014           7         2           faccessat
  0.00    0.000041           5         8           fchdir
  0.00    0.002647           1      2887           fcntl
  0.03    0.036143           2     16739           fstat
  0.00    0.000133          22         6           ftruncate
 97.78  134.622667         663    202904     23442 futex
  0.00    0.000029           3         9           getcwd
  0.10    0.143747           7     19322           getdents
  0.00    0.000011           4         3           getegid
  0.00    0.000066           4        15           geteuid
  0.00    0.000011           4         3           getgid
  0.00    0.000032           4         9           getpid
  0.00    0.000008           4         2           getppid
  0.00    0.000008           1        13         2 getsockname
  0.00    0.000003           1         3           getsockopt
  0.00    0.000269           3        78           gettid
  0.00    0.000017           3         5           getuid
  0.00    0.000112           1        77         3 ioctl
  0.00    0.000031           8         4           kill
  0.03    0.039043           1     28036        47 lseek
  0.23    0.318882           4     88180        18 lstat
  0.00    0.001410          24        58           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.009969           4      2371           mmap
  0.02    0.021591           3      6657           mprotect
  0.00    0.001948           3       745           munmap
  0.04    0.060769           4     14032       694 openat
  0.00    0.000012           1        16           pipe
  0.00    0.000323          10        32           poll
  0.00    0.000473           6        76           prctl
  0.00    0.000108           6        18           prlimit64
  0.09    0.124893           3     41015           read
  0.00    0.000242           5        49         2 readlink
  0.45    0.623698         624      1000           recvfrom
  0.01    0.008019         802        10           recvmsg
  0.00    0.000396           3       135           rt_sigaction
  0.00    0.000776           3       256           rt_sigprocmask
  0.00    0.000244           2       113           rt_sigreturn
  0.00    0.000929           6       163           sched_getaffinity
  0.00    0.000009           9         1           sched_setaffinity
  0.04    0.060912          10      6405           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.02    0.031785          31      1023           sendto
  0.00    0.000291           4        83           set_robust_list
  0.00    0.000019           6         3           set_tid_address
  0.00    0.000043           5         9           setsockopt
  0.00    0.000010          10         1           shutdown
  0.00    0.000116           3        40           socket
  0.00    0.000025          13         2           socketpair
  0.47    0.651815           4    162446      3097 stat
  0.00    0.000056          11         5           sysinfo
  0.00    0.000004           1         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000608           3       191           utimes
  0.62    0.847810       49871        17           wait4
  0.02    0.025643           2     14350           write
------ ----------- ----------- --------- --------- ----------------
100.00  137.682176                623313     27415 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000854           4       234        69 access
  0.00    0.000017           2         9           arch_prctl
  0.00    0.000031           8         4           bind
  0.00    0.000098           3        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000022           6         4           clock_getres
  0.00    0.001162          12        95           clone
  0.03    0.046351           4     13198           close
