% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000596           3       234        69 access
  0.00    0.000052           6         9           arch_prctl
  0.00    0.000007           2         4           bind
  0.00    0.000160           4        38           brk
  0.00    0.000013           3         5           chdir
  0.00    0.000010           3         4           clock_getres
  0.00    0.002640          20       129           clone
  0.03    0.046888           4     13242           close
  0.00    0.003113          35        88        65 connect
  0.00    0.000320           6        52           dup2
  0.00    0.000103           4        23        14 execve
  0.00    0.000020          10         2           faccessat
  0.00    0.000024           3         8           fchdir
  0.00    0.008021           3      3023           fcntl
  0.02    0.042461           3     16739           fstat
  0.00    0.000038           6         6           ftruncate
 93.37  165.737120         815    203440     23122 futex
  0.00    0.000017           2         9           getcwd
  0.08    0.146639           8     19322           getdents
  0.00    0.000007           2         3           getegid
  0.00    0.000043           3        15           geteuid
  0.00    0.000007           2         3           getgid
  0.00    0.000019           2         9           getpid
  0.00    0.000007           4         2           getppid
  0.00    0.002229          47        47         2 getsockname
  0.00    0.000225           6        37           getsockopt
  0.00    0.000456           4       112           gettid
  0.00    0.000014           3         5           getuid
  0.00    0.000042           0        95         3 ioctl
  0.00    0.000009           5         2           kill
  0.02    0.041136           1     28038        47 lseek
  0.21    0.364162           4     88194        18 lstat
  0.00    0.001769          17       105           madvise
  0.00    0.000008           4         2         2 mkdir
  0.01    0.012508           5      2510           mmap
  0.01    0.020728           3      6910           mprotect
  0.00    0.003018           4       759           munmap
  0.04    0.070835           5     14031       694 openat
  0.00    0.000132           8        16           pipe
  0.00    0.000523          10        52           poll
  0.00    0.000534           5       110           prctl
  0.00    0.000048           3        18           prlimit64
  0.06    0.104948           3     41016           read
  0.00    0.000158           3        49         2 readlink
  5.16    9.150724        7309      1252           recvfrom
  0.00    0.008150         906         9           recvmsg
  0.00    0.000439           3       135           rt_sigaction
  0.00    0.001460           4       393           rt_sigprocmask
  0.00    0.000145           1       104           rt_sigreturn
  0.00    0.001079           5       231           sched_getaffinity
  0.00    0.000012          12         1           sched_setaffinity
  0.04    0.069928           9      7647           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.03    0.046165          41      1118           sendto
  0.00    0.000360           3       117           set_robust_list
  0.00    0.000011           4         3           set_tid_address
  0.00    0.003302          30       111           setsockopt
  0.00    0.000000           0         1           shutdown
  0.05    0.086896        1086        80           socket
  0.00    0.000000           0         2           socketpair
  0.41    0.724058           4    162474      3097 stat
  0.00    0.000023           5         5           sysinfo
  0.00    0.000027           5         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000916           5       191           utimes
  0.43    0.762783       44870        17           wait4
  0.02    0.042128           3     14499           write
------ ----------- ----------- --------- --------- ----------------
100.00  177.510413                626916     27135 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001283           5       234        69 access
  0.00    0.000022           2         9           arch_prctl
  0.00    0.000012           3         4           bind
  0.00    0.000101           3        38           brk
  0.00    0.000013           3         5           chdir
  0.00    0.000006           2         4           clock_getres
  0.00    0.001974          15       129           clone
  0.02    0.041578           3     13230           close
  0.00    0.002182          28        78        60 connect
  0.00    0.000158           3        52           dup2
  0.00    0.000078           3        23        14 execve
  0.00    0.000021          11         2           faccessat
  0.00    0.000008           1         8           fchdir
  0.00    0.003741           1      3023           fcntl
  0.02    0.037136           2     16731           fstat
  0.00    0.000125          21         6           ftruncate
 92.50  159.621058         785    203337     22862 futex
  0.00    0.000015           2         9           getcwd
  0.08    0.133475           7     19322           getdents
  0.00    0.000012           4         3           getegid
  0.00    0.000034           2        15           geteuid
  0.00    0.000013           4         3           getgid
  0.00    0.000016           2         9           getpid
