% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001210           5       234        69 access
  0.00    0.000031           3         9           arch_prctl
  0.00    0.000001           0         3           bind
  0.00    0.000230           6        38           brk
  0.00    0.000014           3         5           chdir
  0.00    0.000018           5         4           clock_getres
  0.00    0.002856          20       145           clone
  0.03    0.045285           3     13249           close
  0.00    0.003107          31       100        79 connect
  0.00    0.000275           4        68           dup2
  0.00    0.000117           5        23        14 execve
  0.00    0.000028          14         2           faccessat
  0.00    0.000042           5         8           fchdir
  0.01    0.009048           3      3087           fcntl
  0.02    0.038614           2     16731           fstat
  0.00    0.000074          12         6           ftruncate
 89.32  159.194637         783    203416     23424 futex
  0.00    0.000030           3         9           getcwd
  0.08    0.141394           7     19322           getdents
  0.00    0.000016           5         3           getegid
  0.00    0.000087           6        15           geteuid
  0.00    0.000013           4         3           getgid
  0.00    0.000030           3         9           getpid
  0.00    0.000012           6         2           getppid
  0.00    0.000378           6        62         2 getsockname
  0.00    0.000738          14        53           getsockopt
  0.00    0.000579           5       128           gettid
  0.00    0.000012           2         5           getuid
  0.00    0.000136           2        89         3 ioctl
  0.00    0.000018           9         2           kill
  0.03    0.048229           2     27972        47 lseek
  0.20    0.360251           4     88202        18 lstat
  0.00    0.001651          16       106           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.013968           5      2575           mmap
  0.02    0.031620           5      6930           mprotect
  0.00    0.003647           5       782           munmap
  0.04    0.066060           5     14024       694 openat
  0.00    0.000163          10        16           pipe
  0.00    0.003740          53        70           poll
  0.00    0.000907           7       126           prctl
  0.00    0.000100           6        18           prlimit64
  0.07    0.116001           3     40925           read
  0.00    0.000219           4        49         2 readlink
  8.96   15.966002       11792      1354           recvfrom
  0.00    0.007483         680        11           recvmsg
  0.00    0.000681           5       135           rt_sigaction
  0.00    0.001792           4       457           rt_sigprocmask
  0.00    0.000208           2        93           rt_sigreturn
  0.00    0.001711           7       263           sched_getaffinity
  0.00    0.000040          40         1           sched_setaffinity
  0.04    0.072633          10      7430           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.02    0.032589          28      1166           sendto
  0.00    0.000541           4       133           set_robust_list
  0.00    0.000022           7         3           set_tid_address
  0.00    0.003712          23       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.25    0.442766        4761        93           socket
  0.00    0.000002           1         2           socketpair
  0.38    0.686002           4    162490      3097 stat
  0.00    0.000056          11         5           sysinfo
  0.00    0.000008           2         5           uname
  0.00    0.000006           2         3           unlink
  0.00    0.001181           6       191           utimes
  0.50    0.890641       52391        17           wait4
  0.02    0.034705           2     14581           write
------ ----------- ----------- --------- --------- ----------------
100.00  178.228382                627221     27451 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000452           2       234        69 access
  0.00    0.000022           2         9           arch_prctl
  0.00    0.000022           6         4           bind
  0.00    0.000088           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.002141          15       145           clone
  0.03    0.050421           4     13245           close
  0.00    0.003670          41        90        74 connect
  0.00    0.000581           9        68           dup2
  0.00    0.000008           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000034           4         8           fchdir
  0.00    0.008556           3      3087           fcntl
  0.02    0.045631           3     16731           fstat
  0.00    0.000064          11         6           ftruncate
 88.85  171.540866         850    201854     22680 futex
  0.00    0.000008           1         9           getcwd
  0.08    0.154764           8     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000036           2        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000000           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.002241          36        63         2 getsockname
  0.00    0.000404           8        53           getsockopt
  0.00    0.000641           5       128           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000474           6        74         3 ioctl
  0.00    0.000014           7         2           kill
  0.02    0.044999           2     27972        47 lseek
  0.20    0.383477           4     88202        18 lstat
  0.00    0.001273          12       107           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.018695           7      2572           mmap
  0.02    0.040398           6      6888           mprotect
  0.00    0.003166           4       782           munmap
  0.03    0.066946           5     14024       694 openat
  0.00    0.000078           5        16           pipe
  0.00    0.000728          11        68           poll
  0.00    0.000932           7       126           prctl
  0.00    0.000080           4        18           prlimit64
  0.06    0.111294           3     40920           read
  0.00    0.000434           9        49         2 readlink
  9.26   17.878548       13224      1352           recvfrom
  0.00    0.008592         859        10           recvmsg
  0.00    0.000264           2       135           rt_sigaction
  0.00    0.001651           4       456           rt_sigprocmask
  0.00    0.000224           2        94           rt_sigreturn
  0.00    0.001762           7       263           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.01    0.025880           7      3645           sched_yield
  0.00    0.000072          72         1           sendmmsg
  0.03    0.053614          46      1166           sendto
  0.00    0.000635           5       133           set_robust_list
  0.00    0.000007           2         3           set_tid_address
  0.01    0.011048          69       159           setsockopt
  0.00    0.000007           7         1           shutdown
  0.07    0.137908        1550        89           socket
  0.00    0.000025          13         2           socketpair
  0.41    0.798647           5    162490      3097 stat
  0.00    0.000012           2         5           sysinfo
  0.00    0.000022           4         5           uname
  0.00    0.000020           7         3           unlink
  0.00    0.001418           7       191           utimes
  0.84    1.627257       95721        17           wait4
  0.02    0.033248           2     14582           write
------ ----------- ----------- --------- --------- ----------------
100.00  193.064546                621790     26702 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000589           3       234        69 access
  0.00    0.000007           1         9           arch_prctl
  0.00    0.000013           4         3           bind
  0.00    0.000047           1        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000016           4         4           clock_getres
  0.00    0.002882          20       145           clone
  0.02    0.039708           3     13253           close
  0.01    0.011153         112       100        79 connect
  0.00    0.000677          10        68           dup2
  0.00    0.000015           1        23        14 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000048           6         8           fchdir
  0.01    0.014195           5      3087           fcntl
  0.02    0.034881           2     16735           fstat
  0.00    0.000078          13         6           ftruncate
 88.37  158.138347         778    203202     22490 futex
  0.00    0.000013           1         9           getcwd
  0.07    0.127829           7     19322           getdents
  0.00    0.000004           1         3           getegid
  0.00    0.000065           4        15           geteuid
  0.00    0.000004           1         3           getgid
  0.00    0.000026           3         9           getpid
  0.00    0.000006           3         2           getppid
  0.00    0.000559           9        62         2 getsockname
  0.00    0.000879          17        53           getsockopt
  0.00    0.000660           5       128           gettid
  0.00    0.000004           1         5           getuid
  0.00    0.000129           1        89         3 ioctl
  0.00    0.000017           9         2           kill
  0.03    0.048026           2     28004        47 lseek
  0.19    0.335943           4     88202        18 lstat
  0.00    0.001311          10       128           madvise
  0.00    0.000017           9         2         2 mkdir
  0.01    0.013705           5      2576           mmap
  0.02    0.039064           5      7281           mprotect
  0.00    0.003449           4       782           munmap
  0.04    0.066013           5     14028       694 openat
  0.00    0.000056           4        16           pipe
  0.00    0.005397          79        68           poll
  0.00    0.001116           9       126           prctl
  0.00    0.000072           4        18           prlimit64
  0.06    0.111065           3     40968           read
  0.00    0.000227           5        49         2 readlink
  9.80   17.538306       13127      1336           recvfrom
  0.00    0.006389         799         8           recvmsg
  0.00    0.000163           1       135           rt_sigaction
  0.00    0.001930           4       456           rt_sigprocmask
  0.00    0.000142           1        97           rt_sigreturn
  0.00    0.001994           8       263           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.17    0.310882          14     21804           sched_yield
  0.00    0.000013          13         1           sendmmsg
  0.03    0.048871          42      1165           sendto
  0.00    0.000656           5       133           set_robust_list
  0.00    0.000007           2         3           set_tid_address
  0.04    0.065577         412       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.20    0.352195        3787        93           socket
