% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001251           5       234        69 access
  0.00    0.000014           2         9           arch_prctl
  0.00    0.000023           8         3           bind
  0.00    0.000122           3        38           brk
  0.00    0.000015           3         5           chdir
  0.00    0.000031           8         4           clock_getres
  0.00    0.004877          32       153           clone
  0.02    0.043940           3     13259           close
  0.00    0.005819          56       104        85 connect
  0.00    0.000412           5        76           dup2
  0.00    0.000010           0        23        14 execve
  0.00    0.000022          11         2           faccessat
  0.00    0.000057           7         8           fchdir
  0.01    0.011066           4      3119           fcntl
  0.02    0.038220           2     16735           fstat
  0.00    0.000153          26         6           ftruncate
 87.55  165.432817         810    204128     22618 futex
  0.00    0.000022           2         9           getcwd
  0.07    0.138643           7     19322           getdents
  0.00    0.000012           4         3           getegid
  0.00    0.000076           5        15           geteuid
  0.00    0.000015           5         3           getgid
  0.00    0.000036           4         9           getpid
  0.00    0.000008           4         2           getppid
  0.00    0.000693          10        70         2 getsockname
  0.00    0.005139          84        61           getsockopt
  0.00    0.000765           6       136           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000039           0        83         3 ioctl
  0.00    0.000023          12         2           kill
  0.03    0.050473           2     28006        47 lseek
  0.18    0.346176           4     88210        18 lstat
  0.00    0.002595          22       116           madvise
  0.00    0.000021          11         2         2 mkdir
  0.01    0.017228           7      2608           mmap
  0.02    0.032559           5      7059           mprotect
  0.00    0.004648           6       806           munmap
  0.03    0.063331           5     14028       694 openat
  0.00    0.000144           9        16           pipe
  0.00    0.007860         103        76           poll
  0.00    0.001276          10       134           prctl
  0.00    0.000093           5        18           prlimit64
  0.06    0.115188           3     40919           read
  0.00    0.000220           4        49         2 readlink
 10.75   20.317448       14744      1378           recvfrom
  0.00    0.005668         709         8           recvmsg
  0.00    0.000677           5       135           rt_sigaction
  0.00    0.002484           5       488           rt_sigprocmask
  0.00    0.000241           3        94           rt_sigreturn
  0.00    0.002504           9       279           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.06    0.105582           9     11136           sched_yield
  0.00    0.000072          72         1           sendmmsg
  0.03    0.065574          55      1189           sendto
  0.00    0.000782           6       141           set_robust_list
  0.00    0.000012           4         3           set_tid_address
  0.01    0.018699         102       183           setsockopt
  0.00    0.000000           0         1           shutdown
  0.19    0.361913        3656        99           socket
  0.00    0.000000           0         2           socketpair
  0.37    0.702210           4    162506      3097 stat
  0.00    0.000067          13         5           sysinfo
  0.00    0.000013           3         5           uname
  0.00    0.000017           6         3           unlink
  0.00    0.001507           8       191           utimes
  0.53    1.004378       59081        17           wait4
  0.02    0.033432           2     14616           write
------ ----------- ----------- --------- --------- ----------------
100.00  188.949417                632154     26651 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000590           3       234        69 access
  0.00    0.000023           3         9           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000120           3        38           brk
  0.00    0.000013           3         5           chdir
  0.00    0.000041          10         4           clock_getres
  0.00    0.005949          39       153           clone
  0.02    0.040985           3     13261           close
  0.00    0.008924          89       100        83 connect
  0.00    0.000496           7        76           dup2
  0.00    0.000124           5        23        14 execve
  0.00    0.000020          10         2           faccessat
  0.00    0.000043           5         8           fchdir
  0.01    0.016488           5      3119           fcntl
  0.02    0.036380           2     16739           fstat
  0.00    0.000064          11         6           ftruncate
 86.95  162.211350         800    202672     22239 futex
  0.00    0.000017           2         9           getcwd
  0.07    0.136395           7     19322           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000053           4        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000014           2         9           getpid
  0.00    0.000008           4         2           getppid
  0.00    0.002324          33        71         2 getsockname
  0.00    0.004741          78        61           getsockopt
  0.00    0.000716           5       136           gettid
  0.00    0.000000           0         5           getuid
  0.00    0.000016           0        78         3 ioctl
  0.00    0.000017           9         2           kill
  0.03    0.051124           2     28038        47 lseek
  0.17    0.323659           4     88210        18 lstat
  0.00    0.002501          21       117           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.016385           6      2613           mmap
  0.02    0.036266           5      6985           mprotect
  0.00    0.003169           4       794           munmap
  0.03    0.064700           5     14031       694 openat
  0.00    0.000124           8        16           pipe
  0.00    0.002882          38        76           poll
  0.00    0.001122           8       134           prctl
  0.00    0.000112           6        18           prlimit64
  0.06    0.120799           3     40982           read
  0.00    0.000352           7        49         2 readlink
 11.23   20.949510       14548      1440           recvfrom
  0.00    0.008336         834        10           recvmsg
  0.00    0.000562           4       135           rt_sigaction
  0.00    0.002270           5       488           rt_sigprocmask
  0.00    0.000222           3        83           rt_sigreturn
  0.00    0.002497           9       279           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
