% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.001079           5       234        69 access
  0.00    0.000022           2         9           arch_prctl
  0.00    0.000029           7         4           bind
  0.00    0.000076           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000011           3         4           clock_getres
  0.00    0.003948          26       149           clone
  0.02    0.044727           3     13249           close
  0.01    0.011374         118        96        79 connect
  0.00    0.000441           6        72           dup2
  0.00    0.000082           4        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000048           6         8           fchdir
  0.01    0.020659           7      3103           fcntl
  0.02    0.039319           2     16731           fstat
  0.00    0.000167          28         6           ftruncate
 88.30  171.662971         847    202742     22605 futex
  0.00    0.000010           1         9           getcwd
  0.07    0.141333           7     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000042           3        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000012           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.002339          35        67         2 getsockname
  0.00    0.003630          64        57           getsockopt
  0.00    0.000712           5       132           gettid
  0.00    0.000007           1         5           getuid
  0.00    0.000382           5        77         3 ioctl
  0.00    0.000017           9         2           kill
  0.02    0.045952           2     27974        47 lseek
  0.18    0.340610           4     88206        18 lstat
  0.00    0.001577          15       103           madvise
  0.00    0.000017           9         2         2 mkdir
  0.01    0.019870           8      2585           mmap
  0.01    0.027436           4      6955           mprotect
  0.00    0.003578           5       787           munmap
  0.03    0.066760           5     14023       694 openat
  0.00    0.000000           0        16           pipe
  0.00    0.003364          47        72           poll
  0.00    0.001015           8       130           prctl
  0.00    0.000031           2        18           prlimit64
  0.06    0.110832           3     40931           read
  0.00    0.000269           5        49         2 readlink
 10.01   19.453482       14453      1346           recvfrom
  0.00    0.008447         845        10           recvmsg
  0.00    0.000090           1       135           rt_sigaction
  0.00    0.002013           4       472           rt_sigprocmask
  0.00    0.000075           1        97           rt_sigreturn
  0.00    0.001967           7       271           sched_getaffinity
  0.00    0.000014          14         1           sched_setaffinity
  0.05    0.103498          14      7178           sched_yield
  0.00    0.000072          72         1           sendmmsg
  0.02    0.045558          39      1178           sendto
  0.00    0.000613           4       137           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.01    0.026263         154       171           setsockopt
  0.00    0.000015          15         1           shutdown
  0.23    0.443352        4717        94           socket
  0.00    0.000001           1         2           socketpair
  0.36    0.705534           4    162498      3097 stat
  0.00    0.000033           7         5           sysinfo
  0.00    0.000015           3         5           uname
  0.00    0.000061          20         3           unlink
  0.00    0.001687           9       191           utimes
  0.52    1.008840       59344        17           wait4
  0.02    0.047886           3     14607           write
------ ----------- ----------- --------- --------- ----------------
100.00  194.404274                626452     26632 total
