% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000976           4       234        69 access
  0.00    0.000021           2         9           arch_prctl
  0.00    0.000008           3         3           bind
  0.00    0.000126           3        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000023           6         4           clock_getres
  0.00    0.002463          17       141           clone
  0.02    0.043303           3     13248           close
  0.00    0.006913          74        94        74 connect
  0.00    0.000788          12        64           dup2
  0.00    0.000097           4        23        14 execve
  0.00    0.000014           7         2           faccessat
  0.00    0.000028           4         8           fchdir
  0.00    0.008163           3      3071           fcntl
  0.02    0.038421           2     16735           fstat
  0.00    0.000152          25         6           ftruncate
 88.86  156.559005         765    204656     22895 futex
  0.00    0.000011           1         9           getcwd
  0.07    0.130881           7     19322           getdents
  0.00    0.000007           2         3           getegid
  0.00    0.000043           3        15           geteuid
  0.00    0.000006           2         3           getgid
  0.00    0.000032           4         9           getpid
  0.00    0.000007           4         2           getppid
  0.00    0.000648          11        58         2 getsockname
  0.00    0.004060          83        49           getsockopt
  0.00    0.000548           4       124           gettid
  0.00    0.000006           1         5           getuid
  0.00    0.000081           1        85         3 ioctl
  0.00    0.000011           6         2           kill
  0.02    0.041627           1     28006        47 lseek
  0.18    0.318522           4     88198        18 lstat
  0.00    0.001957          20        98           madvise
  0.00    0.000010           5         2         2 mkdir
  0.01    0.012467           5      2554           mmap
  0.03    0.046155           6      7257           mprotect
  0.00    0.003375           4       779           munmap
  0.03    0.058063           4     14028       694 openat
  0.00    0.000024           2        16           pipe
  0.00    0.002551          39        66           poll
  0.00    0.000780           6       122           prctl
  0.00    0.000081           5        18           prlimit64
  0.06    0.108019           3     40964           read
  0.00    0.000177           4        49         2 readlink
  9.18   16.175027       12539      1290           recvfrom
  0.00    0.005589         699         8           recvmsg
  0.00    0.000657           5       135           rt_sigaction
  0.00    0.001614           4       440           rt_sigprocmask
  0.00    0.000201           2        99           rt_sigreturn
  0.00    0.001347           5       255           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.12    0.219377          11     20506           sched_yield
  0.00    0.000008           8         1           sendmmsg
  0.03    0.054103          47      1154           sendto
  0.00    0.000550           4       129           set_robust_list
  0.00    0.000014           5         3           set_tid_address
  0.01    0.020151         137       147           setsockopt
  0.00    0.000002           2         1           shutdown
  0.42    0.739162        8400        88           socket
  0.00    0.000008           4         2           socketpair
