% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.33  112.106011         535    209673     26216 futex
  0.77    0.881256       51839        17           wait4
  0.61    0.707656          12     57677           sched_yield
  0.47    0.538476           3    162048      3097 stat
  0.23    0.270438         249      1084           recvfrom
  0.23    0.263539           3     87930        18 lstat
  0.09    0.101243           5     19118           getdents
  0.07    0.083301           2     40951           read
  0.05    0.052696           4     13925       694 openat
  0.03    0.031569           2     13095           close
  0.03    0.029855           2     16633           fstat
  0.02    0.027755           1     28006        47 lseek
  0.02    0.022402          22      1019           sendto
  0.02    0.019149           3      7014           mprotect
  0.01    0.016461           1     14342           write
  0.01    0.008389         839        10           recvmsg
  0.01    0.007591           3      2359           mmap
  0.00    0.002522           3       745           munmap
  0.00    0.001993           1      2887           fcntl
  0.00    0.001368           7       191           utimes
  0.00    0.001155          18        63           madvise
  0.00    0.000792           5       163           sched_getaffinity
  0.00    0.000594           2       256           rt_sigprocmask
  0.00    0.000581           6        95           clone
  0.00    0.000528           2       234        69 access
  0.00    0.000327           4        76           prctl
  0.00    0.000297           4        74         2 ioctl
  0.00    0.000263           7        40        24 connect
  0.00    0.000198           3        78           gettid
  0.00    0.000179           1       135           rt_sigaction
  0.00    0.000175           2        83           set_robust_list
  0.00    0.000151           4        39           socket
  0.00    0.000137           3        49         2 readlink
  0.00    0.000122          20         6           ftruncate
  0.00    0.000118           1       105           rt_sigreturn
  0.00    0.000092           5        18           dup2
  0.00    0.000081           2        38           brk
  0.00    0.000078           5        16           pipe
  0.00    0.000060           3        18           prlimit64
  0.00    0.000047          47         1           sendmmsg
  0.00    0.000046          15         3           unlink
  0.00    0.000043           9         5           sysinfo
  0.00    0.000037           2        15           geteuid
  0.00    0.000036           2        24           poll
  0.00    0.000031          16         2           socketpair
  0.00    0.000031           3         9           getcwd
  0.00    0.000029           2        13         2 getsockname
  0.00    0.000028           4         8           fchdir
  0.00    0.000023           5         5           uname
  0.00    0.000019           2         9           getpid
  0.00    0.000017           4         4           bind
  0.00    0.000014          14         1           shutdown
  0.00    0.000014           4         4           clock_getres
  0.00    0.000011           2         5           getuid
  0.00    0.000011           1         9           arch_prctl
  0.00    0.000010           5         2         2 mkdir
  0.00    0.000009           1         9           setsockopt
  0.00    0.000009           0        23        14 execve
  0.00    0.000009           3         3           set_tid_address
  0.00    0.000009           5         2           faccessat
  0.00    0.000007           1         5           chdir
  0.00    0.000007           2         3           getegid
  0.00    0.000006           2         3           getgid
  0.00    0.000003           2         2           getppid
  0.00    0.000002           1         3           getsockopt
  0.00    0.000000           0         1           sched_setaffinity
------ ----------- ----------- --------- --------- ----------------
100.00  115.180106                680483     30187 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.74  104.073770         496    209935     25571 futex
  0.48    0.513319       30195        17           wait4
  0.44    0.470203           9     50427           sched_yield
  0.44    0.469357           3    162048      3097 stat
  0.30    0.316323         304      1042           recvfrom
  0.21    0.228304           3     87930        18 lstat
  0.09    0.097869           2     40938           read
  0.09    0.095783           5     19118           getdents
  0.04    0.043272           3     13927       694 openat
  0.03    0.031390           1     28006        47 lseek
  0.03    0.029143           2     13098           close
  0.03    0.026912           2     16633           fstat
  0.02    0.023990          24      1019           sendto
  0.02    0.021538           2     14341           write
  0.01    0.015473           2      6660           mprotect
  0.01    0.008348         835        10           recvmsg
  0.01    0.007204           3      2328           mmap
  0.00    0.002520           1      2887           fcntl
  0.00    0.001851           2       742           munmap
  0.00    0.001140          17        66           madvise
  0.00    0.000954           4       234        69 access
  0.00    0.000733           4       163           sched_getaffinity
  0.00    0.000646           7        95           clone
  0.00    0.000557           3       191           utimes
  0.00    0.000548           2       256           rt_sigprocmask
  0.00    0.000413           3       135           rt_sigaction
  0.00    0.000376           5        76           prctl
  0.00    0.000244          10        24           poll
  0.00    0.000235           3        78           gettid
  0.00    0.000180           2        83           set_robust_list
  0.00    0.000167           4        42        25 connect
  0.00    0.000152           4        40           socket
  0.00    0.000137           3        49         2 readlink
  0.00    0.000110          18         6           ftruncate
  0.00    0.000106           6        18           dup2
  0.00    0.000104           3        38           brk
  0.00    0.000093           1        77         2 ioctl
  0.00    0.000071           4        18           prlimit64
