% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000920           4       234        69 access
  0.00    0.000030           3         9           arch_prctl
  0.00    0.000016           4         4           bind
  0.00    0.000190           5        38           brk
  0.00    0.000014           3         5           chdir
  0.00    0.000029           7         4           clock_getres
  0.00    0.004627          25       185           clone
  0.02    0.051109           4     13291           close
  0.00    0.007204          54       133       115 connect
  0.00    0.001117          10       107           dup2
  0.00    0.000099           4        23        14 execve
  0.00    0.000020          10         2           faccessat
  0.00    0.000049           6         8           fchdir
  0.01    0.015079           5      3243           fcntl
  0.02    0.046548           3     16735           fstat
  0.00    0.000070          12         6           ftruncate
 86.60  200.296459         983    203709     23107 futex
  0.00    0.000010           1         9           getcwd
  0.07    0.160511           8     19322           getdents
  0.00    0.000013           4         3           getegid
  0.00    0.000073           5        15           geteuid
  0.00    0.000013           4         3           getgid
  0.00    0.000033           4         9           getpid
  0.00    0.000007           4         2           getppid
  0.00    0.001222          12       102         2 getsockname
  0.00    0.001356          15        92           getsockopt
  0.00    0.000887           5       168           gettid
  0.00    0.000013           3         5           getuid
  0.00    0.000282           4        80         3 ioctl
  0.00    0.000018           9         2           kill
  0.03    0.058970           2     28006        47 lseek
  0.17    0.395362           4     88222        18 lstat
  0.00    0.001922          13       153           madvise
  0.00    0.000016           8         2         2 mkdir
  0.01    0.017499           6      2754           mmap
  0.03    0.067693          10      6998           mprotect
  0.00    0.004547           5       854           munmap
  0.03    0.072761           5     14029       694 openat
  0.00    0.000163          10        16           pipe
  0.00    0.003841          35       109           poll
  0.00    0.001499           9       166           prctl
  0.00    0.000098           5        18           prlimit64
  0.05    0.114673           3     40875           read
  0.00    0.000227           5        49         2 readlink
 11.59   26.813595       16992      1578           recvfrom
  0.00    0.008397         840        10           recvmsg
  0.00    0.000655           5       135           rt_sigaction
  0.00    0.002688           4       617           rt_sigprocmask
  0.00    0.000295           3        97           rt_sigreturn
  0.00    0.002583           8       343           sched_getaffinity
  0.00    0.000012          12         1           sched_setaffinity
  0.24    0.554135          13     41830           sched_yield
  0.00    0.000012          12         1           sendmmsg
  0.02    0.045525          35      1284           sendto
  0.00    0.000885           5       173           set_robust_list
  0.00    0.000013           4         3           set_tid_address
  0.00    0.011055          40       276           setsockopt
  0.00    0.000000           0         1           shutdown
  0.20    0.461052        3547       130           socket
  0.00    0.000000           0         2           socketpair
  0.34    0.790987           5    162530      3097 stat
  0.00    0.000074          15         5           sysinfo
  0.00    0.000011           2         5           uname
  0.00    0.000106          35         3           unlink
  0.00    0.001043           5       191           utimes
  0.54    1.239796       72929        17           wait4
  0.01    0.032331           2     14767           write
------ ----------- ----------- --------- --------- ----------------
100.00  231.292539                663798     27170 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000868           4       234        69 access
  0.00    0.000015           2         9           arch_prctl
  0.00    0.000012           3         4           bind
  0.00    0.000090           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000033           8         4           clock_getres
  0.00    0.004844          26       185           clone
  0.02    0.039761           3     13290           close
  0.01    0.030891         238       130       114 connect
  0.00    0.001386          13       108           dup2
  0.00    0.000000           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000057           7         8           fchdir
  0.03    0.073814          23      3247           fcntl
  0.02    0.035300           2     16735           fstat
  0.00    0.000091          15         6           ftruncate
 83.45  180.804270         885    204280     22590 futex
  0.00    0.000032           4         9           getcwd
  0.06    0.136725           7     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000057           4        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000028           3         9           getpid
  0.00    0.000000           0         2           getppid
  0.01    0.013789         134       103         2 getsockname
  0.01    0.010853         117        93           getsockopt
  0.00    0.000810           5       168           gettid
  0.00    0.000016           3         5           getuid
  0.00    0.000054           1        74         3 ioctl
  0.00    0.000020          10         2           kill
  0.03    0.063015           2     28004        47 lseek
  0.15    0.316635           4     88222        18 lstat
  0.00    0.004092          27       152           madvise
  0.00    0.000020          10         2         2 mkdir
  0.01    0.018581           7      2743           mmap
  0.04    0.090133          13      6956           mprotect
  0.00    0.004618           5       845           munmap
  0.03    0.055669           4     14029       694 openat
  0.00    0.000007           0        16           pipe
  0.03    0.069193         653       106           poll
  0.00    0.001318           8       166           prctl
  0.00    0.000106           6        18           prlimit64
  0.06    0.121723           3     40971           read
  0.00    0.000104           2        49         2 readlink
 14.39   31.170874       19385      1608           recvfrom
  0.00    0.008366         837        10           recvmsg
  0.00    0.000719           5       135           rt_sigaction
  0.00    0.003706           6       617           rt_sigprocmask
  0.00    0.000201           2        93           rt_sigreturn
  0.00    0.002383           7       343           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.03    0.058820           5     11465           sched_yield
