% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000786           3       234        69 access
  0.00    0.000024           3         9           arch_prctl
  0.00    0.000011           3         4           bind
  0.00    0.000174           5        38           brk
  0.00    0.000026           5         5           chdir
  0.00    0.000028           7         4           clock_getres
  0.00    0.002933          16       189           clone
  0.01    0.041592           3     13292           close
  0.00    0.013912         104       134       118 connect
  0.00    0.000530           5       112           dup2
  0.00    0.000097           4        23        14 execve
  0.00    0.000019          10         2           faccessat
  0.00    0.000028           4         8           fchdir
  0.01    0.041982          13      3263           fcntl
  0.01    0.036919           2     16735           fstat
  0.00    0.000128          21         6           ftruncate
 88.40  464.711124        2248    206701     24360 futex
  0.00    0.000007           1         9           getcwd
  0.02    0.127244           7     19322           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000046           3        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000025           3         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.003125          29       107         2 getsockname
  0.00    0.006996          72        97           getsockopt
  0.00    0.000535           3       172           gettid
  0.00    0.000000           0         5           getuid
  0.00    0.000250           3        75         3 ioctl
  0.00    0.000013           7         2           kill
  0.01    0.045524           2     28004        47 lseek
  0.06    0.328910           4     88226        18 lstat
  0.00    0.002977          18       163           madvise
  0.00    0.000014           7         2         2 mkdir
  0.00    0.016275           6      2750           mmap
  0.01    0.031045           4      7189           mprotect
  0.00    0.005726           7       856           munmap
  0.01    0.061479           4     14027       694 openat
  0.00    0.000119           7        16           pipe
  0.00    0.018985         167       114           poll
  0.00    0.000934           5       170           prctl
  0.00    0.000112           6        18           prlimit64
  0.02    0.118135           3     40953           read
  0.00    0.000320           7        49         2 readlink
  6.74   35.443348       22633      1566           recvfrom
  0.00    0.006371         637        10           recvmsg
  0.00    0.000659           5       135           rt_sigaction
  0.00    0.001890           3       633           rt_sigprocmask
  0.00    0.000282           2       118           rt_sigreturn
  0.00    0.001888           5       351           sched_getaffinity
  0.00    0.000033          33         1           sched_setaffinity
  3.04   15.981784          24    679327           sched_yield
  0.00    0.000007           7         1           sendmmsg
  0.05    0.249437         192      1299           sendto
  0.00    0.000630           4       177           set_robust_list
  0.00    0.000020           7         3           set_tid_address
  0.01    0.047593         164       291           setsockopt
  0.00    0.000000           0         1           shutdown
  0.43    2.272725       17088       133           socket
  0.00    0.000022          11         2           socketpair
  0.12    0.652756           4    162538      3097 stat
  0.00    0.000064          13         5           sysinfo
  0.00    0.000011           2         5           uname
  0.00    0.000086          29         3           unlink
  0.00    0.001203           6       191           utimes
  1.02    5.335700      313865        17           wait4
  0.01    0.047574           3     14804           write
------ ----------- ----------- --------- --------- ----------------
100.00  525.663198               1304728     28426 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000462           2       234        69 access
  0.00    0.000010           1         9           arch_prctl
  0.00    0.000024           6         4           bind
  0.00    0.000078           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000016           4         4           clock_getres
  0.00    0.005538          29       189           clone
  0.02    0.041754           3     13294           close
  0.01    0.018941         139       136       119 connect
  0.00    0.000736           7       112           dup2
  0.00    0.000009           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000039           5         8           fchdir
  0.02    0.038384          12      3263           fcntl
  0.01    0.035875           2     16735           fstat
  0.00    0.000065          11         6           ftruncate
 84.12  206.620160        1010    204494     23188 futex
  0.00    0.000010           1         9           getcwd
  0.05    0.127736           7     19322           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000039           3        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000002           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000943           9       107         2 getsockname
  0.00    0.003084          32        97           getsockopt
  0.00    0.000950           6       172           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000224           3        77         3 ioctl
  0.00    0.000016           8         2           kill
  0.02    0.046612           2     28006        47 lseek
  0.13    0.322638           4     88226        18 lstat
  0.00    0.002579          18       147           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.021113           8      2754           mmap
  0.02    0.055017           8      7063           mprotect
  0.00    0.004772           6       856           munmap
  0.02    0.057603           4     14028       694 openat
  0.00    0.000019           1        16           pipe
