% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000904           4       234        69 access
  0.00    0.000018           2         9           arch_prctl
  0.00    0.000011           3         4           bind
  0.00    0.000096           3        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000016           4         4           clock_getres
  0.00    0.002014          16       125           clone
  0.03    0.041898           3     13228           close
  0.00    0.001316          18        72        55 connect
  0.00    0.000580          12        48           dup2
  0.00    0.000010           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000009           1         8           fchdir
  0.00    0.003394           1      3007           fcntl
  0.02    0.036538           2     16735           fstat
  0.00    0.000020           3         6           ftruncate
 93.05  144.000762         710    202830     22668 futex
  0.00    0.000020           2         9           getcwd
  0.08    0.130701           7     19322           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000012           1        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000021           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001490          35        43         2 getsockname
  0.00    0.000237           7        33           getsockopt
  0.00    0.000389           4       108           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000199           3        77         3 ioctl
  0.00    0.000003           2         2           kill
  0.03    0.041383           1     28006        47 lseek
  0.21    0.332340           4     88190        18 lstat
  0.00    0.002353          24       100           madvise
  0.00    0.000004           2         2         2 mkdir
  0.01    0.013945           6      2496           mmap
  0.02    0.027364           4      6830           mprotect
  0.00    0.003503           5       761           munmap
  0.04    0.062187           4     14027       694 openat
  0.00    0.000073           5        16           pipe
  0.00    0.000322           7        48           poll
  0.00    0.000808           8       106           prctl
  0.00    0.000060           3        18           prlimit64
  0.08    0.116665           3     40959           read
  0.00    0.000189           4        49         2 readlink
  5.15    7.975864        6559      1216           recvfrom
  0.00    0.006732         673        10           recvmsg
  0.00    0.000347           3       135           rt_sigaction
  0.00    0.001290           3       377           rt_sigprocmask
  0.00    0.000155           2        98           rt_sigreturn
  0.00    0.001426           6       223           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.15    0.230773          10     23002           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.03    0.039513          36      1106           sendto
  0.00    0.000430           4       113           set_robust_list
  0.00    0.000016           5         3           set_tid_address
  0.00    0.003379          34        99           setsockopt
  0.00    0.000000           0         1           shutdown
  0.04    0.068089         973        70           socket
  0.00    0.000002           1         2           socketpair
  0.42    0.643531           4    162466      3097 stat
  0.00    0.000048          10         5           sysinfo
  0.00    0.000014           3         5           uname
  0.00    0.000018           6         3           unlink
  0.00    0.001008           5       191           utimes
  0.59    0.919178       54069        17           wait4
  0.03    0.041404           3     14453           write
------ ----------- ----------- --------- --------- ----------------
100.00  154.755082                641214     26671 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000770           3       234        69 access
  0.00    0.000012           1         9           arch_prctl
  0.00    0.000008           3         3           bind
  0.00    0.000079           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000032           8         4           clock_getres
  0.00    0.002065          17       125           clone
  0.03    0.043878           3     13232           close
  0.00    0.004101          51        80        59 connect
  0.00    0.000194           4        48           dup2
  0.00    0.000108           5        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000022           3         8           fchdir
  0.01    0.012379           4      3007           fcntl
  0.02    0.041073           2     16735           fstat
  0.00    0.000125          21         6           ftruncate
 91.25  153.611275         745    206144     22817 futex
  0.00    0.000014           2         9           getcwd
  0.09    0.146004           8     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000034           2        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000032           4         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000323           8        42         2 getsockname
  0.00    0.002796          85        33           getsockopt
  0.00    0.000579           5       108           gettid
  0.00    0.000008           2         5           getuid
  0.00    0.000209           2        89         3 ioctl
  0.00    0.000010           5         2           kill
  0.03    0.045613           2     28006        47 lseek
  0.21    0.359788           4     88190        18 lstat
  0.00    0.001689          19        88           madvise
  0.00    0.000009           5         2         2 mkdir
  0.01    0.013628           5      2502           mmap
  0.02    0.028204           4      6993           mprotect
  0.00    0.003772           5       759           munmap
  0.04    0.067120           5     14028       694 openat
  0.00    0.000033           2        16           pipe
  0.00    0.002362          47        50           poll
  0.00    0.000962           9       106           prctl
  0.00    0.000105           6        18           prlimit64
  0.08    0.131558           3     40964           read
  0.00    0.000215           4        49         2 readlink
  7.16   12.052361        9642      1250           recvfrom
  0.00    0.005661         708         8           recvmsg
  0.00    0.000646           5       135           rt_sigaction
  0.00    0.001678           4       375           rt_sigprocmask
  0.00    0.000202           2        84           rt_sigreturn
  0.00    0.001887           8       223           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.02    0.034920           7      4690           sched_yield
  0.00    0.000013          13         1           sendmmsg
  0.02    0.034722          31      1106           sendto
  0.00    0.000565           5       113           set_robust_list
  0.00    0.000012           4         3           set_tid_address
  0.00    0.004641          47        99           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.002344          32        73           socket
  0.00    0.000000           0         2           socketpair
  0.43    0.726323           4    162466      3097 stat
  0.00    0.000057          11         5           sysinfo
  0.00    0.000017           3         5           uname
  0.00    0.000022           7         3           unlink
  0.00    0.001309           7       191           utimes
  0.54    0.909600       53506        17           wait4
  0.02    0.036027           2     14485           write
------ ----------- ----------- --------- --------- ----------------
100.00  168.334205                626452     26824 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000696           3       234        69 access
  0.00    0.000017           2         9           arch_prctl
  0.00    0.000023           6         4           bind
  0.00    0.000132           3        38           brk
  0.00    0.000012           2         5           chdir
  0.00    0.000013           3         4           clock_getres
  0.00    0.001962          16       125           clone
  0.03    0.053321           4     13234           close
  0.00    0.002430          30        82        60 connect
  0.00    0.000088           2        48           dup2
  0.00    0.000088           4        23        14 execve
  0.00    0.000016           8         2           faccessat
  0.00    0.000042           5         8           fchdir
  0.00    0.008590           3      3007           fcntl
  0.03    0.047127           3     16735           fstat
  0.00    0.000062          10         6           ftruncate
 92.96  167.936275         826    203278     22869 futex
  0.00    0.000008           1         9           getcwd
  0.09    0.167861           9     19322           getdents
  0.00    0.000005           2         3           getegid
  0.00    0.000048           3        15           geteuid
  0.00    0.000005           2         3           getgid
  0.00    0.000013           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000507          12        43         2 getsockname
  0.00    0.000671          20        33           getsockopt
  0.00    0.000389           4       108           gettid
  0.00    0.000010           2         5           getuid
  0.00    0.000342           4        92         3 ioctl
  0.00    0.000015           8         2           kill
  0.03    0.045241           2     28004        47 lseek
  0.23    0.423390           5     88190        18 lstat
  0.00    0.002306          25        94           madvise
  0.00    0.000015           8         2         2 mkdir
  0.01    0.012785           5      2467           mmap
  0.02    0.027936           4      6656           mprotect
  0.00    0.002974           4       759           munmap
  0.04    0.077820           6     14028       694 openat
  0.00    0.000125           8        16           pipe
  0.00    0.001311          27        48           poll
  0.00    0.000823           8       106           prctl
  0.00    0.000070           4        18           prlimit64
  0.06    0.115652           3     40966           read
  0.00    0.000287           6        49         2 readlink
  4.98    8.991463        7443      1208           recvfrom
  0.00    0.008391         932         9           recvmsg
  0.00    0.000480           4       135           rt_sigaction
  0.00    0.001220           3       376           rt_sigprocmask
  0.00    0.000278           3       100           rt_sigreturn
  0.00    0.001414           6       223           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.09    0.155507          14     11248           sched_yield
  0.00    0.000052          52         1           sendmmsg
  0.03    0.059244          54      1106           sendto
  0.00    0.000424           4       113           set_robust_list
  0.00    0.000010           3         3           set_tid_address
  0.00    0.005531          56        99           setsockopt
  0.00    0.000000           0         1           shutdown
  0.02    0.037241         497        75           socket
  0.00    0.000000           0         2           socketpair
  0.46    0.835942           5    162466      3097 stat
  0.00    0.000057          11         5           sysinfo
  0.00    0.000034           7         5           uname
  0.00    0.000015           5         3           unlink
  0.00    0.001059           6       191           utimes
  0.88    1.585657       93274        17           wait4
  0.02    0.036054           2     14480           write
------ ----------- ----------- --------- --------- ----------------
100.00  180.651576                629758     26877 total
