% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000729           3       234        69 access
  0.00    0.000037           4         9           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000155           4        38           brk
  0.00    0.000012           2         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.003031          19       161           clone
  0.02    0.048862           4     13270           close
  0.01    0.022484         204       110        92 connect
  0.00    0.000869          10        84           dup2
  0.00    0.000080           3        23        14 execve
  0.00    0.000018           9         2           faccessat
  0.00    0.000042           5         8           fchdir
  0.01    0.034725          11      3151           fcntl
  0.02    0.043812           3     16739           fstat
  0.00    0.000200          33         6           ftruncate
 90.20  256.219149        1234    207633     23149 futex
  0.00    0.000010           1         9           getcwd
  0.05    0.152216           8     19322           getdents
  0.00    0.000011           4         3           getegid
  0.00    0.000058           4        15           geteuid
  0.00    0.000010           3         3           getgid
  0.00    0.000034           4         9           getpid
  0.00    0.000007           4         2           getppid
  0.00    0.002758          35        79         2 getsockname
  0.00    0.003098          45        69           getsockopt
  0.00    0.000657           5       144           gettid
  0.00    0.000019           4         5           getuid
  0.00    0.000012           0        79         3 ioctl
  0.00    0.000015           8         2           kill
  0.01    0.042325           2     28038        47 lseek
  0.13    0.375985           4     88218        18 lstat
  0.00    0.001909          15       129           madvise
  0.00    0.000015           8         2         2 mkdir
  0.00    0.013348           5      2645           mmap
  0.01    0.028816           4      7065           mprotect
  0.00    0.003167           4       809           munmap
  0.02    0.065271           5     14031       694 openat
  0.00    0.000128           8        16           pipe
  0.00    0.004854          59        82           poll
  0.00    0.000647           5       142           prctl
  0.00    0.000046           3        18           prlimit64
  0.04    0.109967           3     41010           read
  0.00    0.000263           5        49         2 readlink
  6.62   18.811478       13572      1386           recvfrom
  0.00    0.008386         839        10           recvmsg
  0.00    0.000541           4       135           rt_sigaction
  0.00    0.001980           4       520           rt_sigprocmask
  0.00    0.000282           2       126           rt_sigreturn
  0.00    0.001338           5       295           sched_getaffinity
  0.00    0.000013          13         1           sched_setaffinity
  1.58    4.473950          16    288086           sched_yield
  0.00    0.000008           8         1           sendmmsg
  0.03    0.076932          63      1213           sendto
  0.00    0.000626           4       149           set_robust_list
