% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.50  169.174039         777    217714     28275 futex
  5.31    9.601186           8   1203494           sched_yield
  0.37    0.664857         639      1040           recvfrom
  0.26    0.464152           3    162216      3097 stat
  0.25    0.447588       26329        17           wait4
  0.12    0.216524           2     88038        18 lstat
  0.05    0.090029           5     19214           getdents
  0.04    0.066596           2     40959           read
  0.02    0.040892           3     13974       694 openat
  0.02    0.028791           2     13145           close
  0.01    0.026601           2     16681           fstat
  0.01    0.024881           1     28006        47 lseek
  0.01    0.021927          21      1022           sendto
  0.01    0.020726           1     14346           write
  0.01    0.015516           2      6823           mprotect
  0.00    0.008349         835        10           recvmsg
  0.00    0.008232           4      2332           mmap
  0.00    0.002636           4       743           munmap
  0.00    0.001783           1      2895           fcntl
  0.00    0.001382           7       191           utimes
  0.00    0.001043           4       234        69 access
  0.00    0.000920           9        97           clone
  0.00    0.000805           5       167           sched_getaffinity
  0.00    0.000566           2       264           rt_sigprocmask
  0.00    0.000517          10        54           madvise
  0.00    0.000433           6        78           prctl
  0.00    0.000279           6        49         2 readlink
  0.00    0.000228           6        40        25 connect
  0.00    0.000215          11        20           poll
  0.00    0.000190           2        80           gettid
  0.00    0.000184           2        85           set_robust_list
  0.00    0.000142           1       135           rt_sigaction
  0.00    0.000113           6        20           dup2
  0.00    0.000076           2        38           brk
  0.00    0.000058           1        40           socket
  0.00    0.000055           3        18           prlimit64
  0.00    0.000051           1        78           rt_sigreturn
  0.00    0.000042           7         6           ftruncate
  0.00    0.000034          11         3           unlink
  0.00    0.000025           3         8           fchdir
  0.00    0.000024           5         5           sysinfo
  0.00    0.000024           2        15           geteuid
  0.00    0.000022           4         5           getsockopt
  0.00    0.000018           1        15         2 getsockname
  0.00    0.000017           0        71         3 ioctl
  0.00    0.000017           2         9           getpid
  0.00    0.000017           3         5           uname
  0.00    0.000016           8         2           socketpair
  0.00    0.000016           1        23        14 execve
  0.00    0.000013           3         4           clock_getres
  0.00    0.000012           1         9           arch_prctl
  0.00    0.000010           3         3           set_tid_address
  0.00    0.000009           5         2         2 mkdir
  0.00    0.000008           2         4           bind
  0.00    0.000007           1         9           getcwd
  0.00    0.000005           0        16           pipe
  0.00    0.000005           1         5           getuid
  0.00    0.000004           1         3           getegid
  0.00    0.000003           1         3           getgid
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0        15           setsockopt
  0.00    0.000000           0         5           chdir
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         2           faccessat
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00  180.932910               1834609     32248 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.83  105.533932         506    208401     25437 futex
  0.62    0.669705         675       992           recvfrom
  0.48    0.518124           3    162216      3097 stat
  0.46    0.497478       29263        17           wait4
  0.23    0.243952           3     88038        18 lstat
  0.09    0.098185           5     19214           getdents
  0.07    0.075908           2     40970           read
  0.04    0.042936           3     13974       694 openat
  0.03    0.033865           1     28006        47 lseek
  0.03    0.032310           2     13146           close
  0.03    0.029219           2     16681           fstat
  0.02    0.024549          24      1023           sendto
  0.02    0.021928           2     14346           write
