,Run Number,Number of Threads,access,arch_prctl,bind,brk,chdir,clock_getres,clone,close,connect,dup2,execve,faccessat,fchdir,fcntl,fstat,ftruncate,futex,getcwd,getdents,getegid,geteuid,getgid,getpid,getppid,getsockname,getsockopt,gettid,getuid,ioctl,kill,lseek,lstat,madvise,mkdir,mmap,mprotect,munmap,openat,pipe,poll,prctl,prlimit64,read,readlink,recvfrom,recvmsg,rt_sigaction,rt_sigprocmask,rt_sigreturn,sched_getaffinity,sched_setaffinity,sched_yield,sendmmsg,sendto,set_robust_list,set_tid_address,setsockopt,shutdown,socket,socketpair,stat,sysinfo,uname,unlink,utimes,wait4,write
24,1,56,234,9,4,38,5,4,149,13249,96,72,23,2,8,3103,16731,6,202742,9,19322,3,15,3,9,2,67,57,132,5,77,2,27974,88206,103,2,2585,6955,787,14023,16,72,130,18,40931,49,1346,10,135,472,97,271,1,7178,1,1178,137,3,171,1,94,2,162498,5,5,3,191,17,14607
25,2,56,234,9,4,38,5,4,149,13258,96,72,23,2,8,3103,16739,6,202740,9,19322,3,15,3,9,2,67,57,132,5,77,2,28038,88206,115,2,2600,7213,792,14032,16,74,130,18,41009,49,1384,10,135,472,89,271,1,9557,1,1179,137,3,171,1,94,2,162498,5,5,3,191,17,14598
26,3,56,234,9,4,38,5,4,149,13259,98,72,23,2,8,3103,16739,6,203754,9,19322,3,15,3,9,2,67,57,132,5,80,2,28036,88206,115,2,2609,6777,793,14032,16,74,130,18,41006,49,1388,10,135,473,87,271,1,1035,1,1179,137,3,171,1,95,2,162498,5,5,3,191,17,14597
27,1,60,234,9,3,38,5,4,153,13259,104,76,23,2,8,3119,16735,6,204128,9,19322,3,15,3,9,2,70,61,136,5,83,2,28006,88210,116,2,2608,7059,806,14028,16,76,134,18,40919,49,1378,8,135,488,94,279,1,11136,1,1189,141,3,183,1,99,2,162506,5,5,3,191,17,14616
28,2,60,234,9,4,38,5,4,153,13261,100,76,23,2,8,3119,16739,6,202672,9,19322,3,15,3,9,2,71,61,136,5,78,2,28038,88210,117,2,2613,6985,794,14031,16,76,134,18,40982,49,1440,10,135,488,83,279,1,2078,1,1190,141,3,183,1,98,2,162506,5,5,3,191,17,14619
29,3,60,234,9,4,38,5,4,153,13263,100,76,23,2,8,3119,16739,6,204928,9,19322,3,15,3,9,2,71,61,136,5,76,2,28038,88210,111,2,2612,6868,790,14033,16,76,134,18,40986,49,1370,10,135,488,85,279,1,7782,1,1190,141,3,183,1,98,2,162506,5,5,3,191,17,14623
30,1,64,234,9,4,38,5,4,157,13262,104,80,23,2,8,3135,16735,6,201092,9,19322,3,15,3,9,2,75,65,140,5,76,2,28006,88214,108,2,2641,6951,812,14028,16,78,138,18,40929,49,1426,10,135,503,86,287,1,12274,1,1201,145,3,195,1,102,2,162514,5,5,3,191,17,14637
31,2,64,234,9,4,38,5,4,157,13260,102,80,23,2,8,3135,16735,6,202433,9,19322,3,15,3,9,2,75,65,140,5,75,2,28004,88214,129,2,2643,7108,809,14027,16,80,138,18,40952,49,1436,10,135,504,91,287,1,3261,1,1202,145,3,195,1,101,2,162514,5,5,3,191,17,14640
32,3,64,234,9,4,38,5,4,157,13260,102,80,23,2,8,3135,16735,6,201035,9,19322,3,15,3,9,2,75,65,140,5,74,2,28006,88214,114,2,2632,7404,802,14027,16,80,138,18,40968,49,1430,10,135,505,93,287,1,4668,1,1202,145,3,195,1,101,2,162514,5,5,3,191,17,14641
33,1,68,234,9,4,38,5,4,161,13270,110,84,23,2,8,3151,16739,6,207633,9,19322,3,15,3,9,2,79,69,144,5,79,2,28038,88218,129,2,2645,7065,809,14031,16,82,142,18,41010,49,1386,10,135,520,126,295,1,288086,1,1213,149,3,207,1,107,2,162522,5,5,3,191,17,14657
