% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000502           2       234        69 access
  0.00    0.000004           0         9           arch_prctl
  0.00    0.000023           6         4           bind
  0.00    0.000022           1        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000008           2         4           clock_getres
  0.00    0.001500          11       137           clone
  0.00    0.031809           2     13351           close
  0.00    0.002080          25        84        67 connect
  0.00    0.000320           5        60           dup2
  0.00    0.000004           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000033           4         8           fchdir
  0.00    0.004639           2      3055           fcntl
  0.00    0.028818           2     16843           fstat
  0.00    0.000119          20         6           ftruncate
 78.70 2515.114423        9909    253816     42971 futex
  0.00    0.000005           1         9           getcwd
  0.00    0.100943           5     19530           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000026           2        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000308           6        55         2 getsockname
  0.00    0.000392           9        45           getsockopt
  0.00    0.000394           3       120           gettid
  0.00    0.000003           1         5           getuid
  0.00    0.000019           0        77         3 ioctl
  0.00    0.037009           1     28060        47 lseek
  0.01    0.248513           3     88622        18 lstat
  0.00    0.002741          30        91           madvise
  0.00    0.000012           6         2         2 mkdir
  0.00    0.051207          19      2630           mmap
  0.12    3.911148         467      8371           mprotect
  0.00    0.005461           7       781           munmap
  0.00    0.043918           3     14137       694 openat
  0.00    0.000010           1        16           pipe
  0.00    0.001283          16        80           poll
  0.00    0.000692           6       118           prctl
  0.00    0.000023           1        18           prlimit64
  0.01    0.167840           4     41022           read
  0.00    0.000113           2        49         2 readlink
 12.80  409.060113         409    999864           recvfrom
  0.00    0.008560         856        10           recvmsg
  0.00    0.000095           1       135           rt_sigaction
  0.00    0.001716           4       424           rt_sigprocmask
  0.00    0.000338           3       122           rt_sigreturn
  0.00    0.001036           4       247           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  2.50   79.762285          16   5072861           sched_yield
  0.00    0.000050          50         1           sendmmsg
  3.64  116.290047         116   1000152           sendto
  0.00    0.000377           3       125           set_robust_list
  0.00    0.000000           0         3           set_tid_address
  0.00    0.004543          34       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.01    0.274529        3348        82           socket
  0.00    0.000014           7         2           socketpair
  0.02    0.487554           3    163226      3097 stat
  0.00    0.000032           6         5           sysinfo
  0.00    0.000013           3         5           uname
  0.00    0.000004           1         3           unlink
  0.00    0.000926           5       191           utimes
  2.20   70.282714     4134277        17           wait4
  0.00    0.035364           2     14528           write
------ ----------- ----------- --------- --------- ----------------
100.00 3195.966674               7743689     46986 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000561           2       234        69 access
  0.00    0.000011           1         9           arch_prctl
  0.00    0.000012           3         4           bind
  0.00    0.000091           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000003           1         4           clock_getres
  0.00    0.002112          15       137           clone
  0.00    0.034816           3     13348           close
  0.00    0.001435          18        80        65 connect
  0.00    0.000783          13        60           dup2
  0.00    0.000113           5        23        14 execve
  0.00    0.000007           4         2           faccessat
  0.00    0.000000           0         8           fchdir
  0.00    0.002731           1      3055           fcntl
  0.00    0.032806           2     16843           fstat
  0.00    0.000010           2         6           ftruncate
 87.75 6705.219997       19299    347440     92092 futex
  0.00    0.000032           4         9           getcwd
  0.00    0.109246           6     19530           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000006           0        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000009           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.000152           3        55         2 getsockname
  0.00    0.000071           2        45           getsockopt
  0.00    0.000361           3       120           gettid
  0.00    0.000008           2         5           getuid
  0.00    0.000191           3        71         3 ioctl
  0.00    0.037277           1     28058        47 lseek
  0.00    0.287461           3     88622        18 lstat
  0.00    0.003387          29       118           madvise
  0.00    0.000000           0         2         2 mkdir
  0.01    0.448414         169      2658           mmap
  0.02    1.763366         204      8643           mprotect
  0.00    0.009758          13       780           munmap
  0.00    0.050124           4     14136       694 openat
  0.00    0.000028           2        16           pipe
  0.00    0.000753          11        70           poll
  0.00    0.000454           4       118           prctl
  0.00    0.000021           1        18           prlimit64
  0.00    0.096592           2     41058           read
  0.00    0.000095           2        49         2 readlink
  5.13  392.357572         392   1000402           recvfrom
  0.00    0.016972        1131        15           recvmsg
  0.00    0.000280           2       135           rt_sigaction
  0.00    0.001325           3       424           rt_sigprocmask
  0.00    0.000524           3       168           rt_sigreturn
  0.00    0.000801           3       247           sched_getaffinity
  0.00    0.000027          27         1           sched_setaffinity
  3.93  300.305215          13  24018667           sched_yield
  0.00    0.000000           0         1           sendmmsg
  1.39  106.418623         106   1000147           sendto
  0.00    0.000320           3       125           set_robust_list
  0.00    0.000007           2         3           set_tid_address
  0.00    0.002131          16       135           setsockopt
  0.00    0.000011          11         1           shutdown
  0.00    0.115937        1449        80           socket
  0.00    0.000026          13         2           socketpair
  0.01    0.563386           3    163226      3097 stat
  0.00    0.000013           3         5           sysinfo
  0.00    0.000017           3         5           uname
  0.00    0.000182          61         3           unlink
  0.00    0.000342           2       191           utimes
  1.75  133.555360     7856198        17           wait4
  0.00    0.052786           4     14618           write
------ ----------- ----------- --------- --------- ----------------
100.00 7641.495151              26784127     96105 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000646           3       234        69 access
  0.00    0.000005           1         9           arch_prctl
  0.00    0.000018           5         4           bind
  0.00    0.000058           2        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000015           4         4           clock_getres
  0.00    0.001588          12       137           clone
  0.00    0.034924           3     13356           close
  0.00    0.000761           9        82        66 connect
  0.00    0.000459           8        60           dup2
  0.00    0.000006           0        23        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000035           4         8           fchdir
  0.00    0.014261           5      3055           fcntl
  0.00    0.031037           2     16851           fstat
  0.00    0.000127          21         6           ftruncate
 87.73 11743.722495       22887    513107    169817 futex
  0.00    0.000035           4         9           getcwd
  0.00    0.110842           6     19530           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000031           2        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000008           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001258          23        55         2 getsockname
  0.00    0.004291          95        45           getsockopt
  0.00    0.000309           3       120           gettid
  0.00    0.000020           4         5           getuid
  0.00    0.000076           1        74         3 ioctl
  0.00    0.044629           2     28124        47 lseek
  0.00    0.268767           3     88665        18 lstat
  0.00    0.006544          60       109           madvise
  0.00    0.000012           6         2         2 mkdir
  0.00    0.363968         138      2642           mmap
  0.02    3.063330         357      8587           mprotect
  0.00    0.004924           6       777           munmap
  0.00    0.072731           5     14143       694 openat
  0.00    0.000042           3        16           pipe
  0.00    0.003149          40        78           poll
  0.00    0.000444           4       118           prctl
  0.00    0.000067           4        18           prlimit64
  0.00    0.274059           7     41125           read
  0.00    0.000119           2        49         2 readlink
  5.05  676.193176         677    998486           recvfrom
  0.00    0.008343         834        10           recvmsg
  0.00    0.000188           1       135           rt_sigaction
  0.00    0.001209           3       425           rt_sigprocmask
  0.00    0.000344           2       164           rt_sigreturn
  0.00    0.000890           4       247           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  5.03  673.542857          13  53459450           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.67   89.838878          90   1000151           sendto
  0.00    0.000300           2       125           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.00    0.008626          64       135           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.310284        3831        81           socket
  0.00    0.000000           0         2           socketpair
  0.00    0.599389           4    163230      3097 stat
  0.00    0.000026           5         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000050          17         3           unlink
  0.00    0.000861           5       191           utimes
  1.47  197.230688    11601805        17           wait4
  0.00    0.240725          16     14651           write
------ ----------- ----------- --------- --------- ----------------
100.00 13386.002935              56388823    173831 total
