% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000177           1       227        62 access
  0.00    0.000008           1         7           arch_prctl
  0.00    0.000018           5         4           bind
  0.00    0.000048           1        34           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000013           3         4           clock_getres
  0.00    0.002391          19       125           clone
  0.04    0.021466           2     13329           close
  0.01    0.005011          48       104        87 connect
  0.00    0.000097           1        80           dup2
  0.00    0.000004           0        21        14 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000026           3         8           fchdir
  0.02    0.009095           3      3135           fcntl
  0.03    0.017073           1     16803           fstat
  0.00    0.000061          10         6           ftruncate
 85.51   51.320586        1125     45624      7211 futex
  0.00    0.000016           2         9           getcwd
  0.12    0.074047           4     19482           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000031           2        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000016           2         9           getpid
  0.00    0.000003           2         2           getppid
  0.01    0.003022          40        75         2 getsockname
  0.00    0.002730          42        65           getsockopt
  0.00    0.000777           7       108           gettid
  0.00    0.000017           3         5           getuid
  0.00    0.000260           3        77         7 ioctl
  0.04    0.022516           1     28002        47 lseek
  0.35    0.209333           2     88456        18 lstat
  0.00    0.000847           8       102           madvise
  0.00    0.000010           5         2         2 mkdir
  0.01    0.006602           3      2253           mmap
  0.02    0.013689           2      6258           mprotect
  0.00    0.001727           2       786           munmap
  0.05    0.032714           2     14095       694 openat
  0.00    0.000072           5        16           pipe
  0.00    0.001768          23        78           poll
  0.00    0.000555           5       106           prctl
  0.00    0.000020           1        18           prlimit64
  0.09    0.055656           1     40812           read
  0.00    0.000071           1        49         2 readlink
 12.07    7.241853        5057      1432           recvfrom
  0.01    0.008383         838        10           recvmsg
  0.00    0.000077           1       127           rt_sigaction
  0.00    0.001186           3       408           rt_sigprocmask
  0.00    0.000118           1        89           rt_sigreturn
  0.00    0.001067           5       222           sched_getaffinity
  0.00    0.002208           4       569           sched_yield
  0.00    0.000009           9         1           sendmmsg
  0.08    0.045574          38      1201           sendto
  0.00    0.000463           4       113           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.02    0.011716          60       195           setsockopt
  0.00    0.000000           0         1           shutdown
  0.03    0.018540         182       102           socket
  0.00    0.000000           0         2           socketpair
  0.71    0.427383           3    162916      3097 stat
  0.00    0.000024           5         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000009           3         3           unlink
  0.00    0.000016           0       191           utimes
  0.75    0.448948       26409        17           wait4
  0.01    0.005854           0     14636           write
------ ----------- ----------- --------- --------- ----------------
100.00   60.016035                462652     11243 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000311           1       230        65 access
  0.00    0.000014           2         8           arch_prctl
  0.00    0.000009           2         4           bind
  0.00    0.000042           1        35           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.000995           8       125           clone
  0.04    0.021032           2     13334           close
  0.01    0.004691          47       100        85 connect
  0.00    0.000168           2        80           dup2
  0.00    0.000060           3        22        14 execve
  0.00    0.000008           4         2           faccessat
  0.00    0.000014           2         8           fchdir
  0.04    0.020072           6      3135           fcntl
  0.03    0.016211           1     16810           fstat
  0.00    0.000021           4         6           ftruncate
 88.62   45.335667         915     49526      8125 futex
  0.00    0.000013           1         9           getcwd
  0.14    0.069632           4     19482           getdents
  0.00    0.000004           1         3           getegid
  0.00    0.000029           2        15           geteuid
  0.00    0.000004           1         3           getgid
  0.00    0.000020           2         9           getpid
  0.00    0.000004           2         2           getppid
  0.00    0.002300          31        75         2 getsockname
  0.01    0.002892          44        65           getsockopt
  0.00    0.000286           3       108           gettid
  0.00    0.000032           6         5           getuid
  0.00    0.000122           2        71         7 ioctl
  0.04    0.020539           1     28036        47 lseek
  0.37    0.191832           2     88460        18 lstat
  0.00    0.000531           5        97           madvise
  0.00    0.000005           3         2         2 mkdir
  0.01    0.006183           3      2298           mmap
  0.02    0.008900           2      5839           mprotect
  0.00    0.001376           2       791           munmap
  0.07    0.035259           3     14102       694 openat
  0.00    0.000000           0        16           pipe
  0.01    0.007170          87        82           poll
  0.00    0.000365           3       106           prctl
  0.00    0.000058           3        18           prlimit64
  0.09    0.047887           1     40855           read
  0.00    0.000117           2        49         2 readlink
  6.22    3.184691        2331      1366           recvfrom
  0.02    0.008340         834        10           recvmsg
  0.00    0.000171           1       127           rt_sigaction
  0.00    0.000961           2       408           rt_sigprocmask
  0.00    0.000032           0        65           rt_sigreturn
  0.00    0.000946           4       222           sched_getaffinity
  0.00    0.000976           2       555           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.10    0.048819          41      1203           sendto
  0.00    0.000388           3       113           set_robust_list
  0.00    0.000009           3         3           set_tid_address
  0.06    0.032822         168       195           setsockopt
  0.00    0.000002           2         1           shutdown
  0.56    0.287895        2879       100           socket
