% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000245           1       230        65 access
  0.00    0.000007           1         8           arch_prctl
  0.00    0.000025           6         4           bind
  0.00    0.000058           2        34           brk
  0.00    0.000008           2         5           chdir
  0.00    0.000013           3         4           clock_getres
  0.00    0.001312          12       109           clone
  0.05    0.032845           2     13316           close
  0.01    0.003778          43        88        71 connect
  0.00    0.000174           3        64           dup2
  0.00    0.000070           3        21        14 execve
  0.00    0.000019          10         2           faccessat
  0.00    0.000014           2         8           fchdir
  0.04    0.025720           8      3071           fcntl
  0.05    0.029734           2     16806           fstat
  0.00    0.000111          19         6           ftruncate
 92.30   58.352461        1138     51282      8620 futex
  0.00    0.000017           2         9           getcwd
  0.16    0.102983           5     19482           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000018           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000016           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.003127          53        59         2 getsockname
  0.01    0.003539          72        49           getsockopt
  0.00    0.000193           2        92           gettid
  0.00    0.000009           2         5           getuid
  0.00    0.000019           0        77         7 ioctl
  0.04    0.022960           1     28004        47 lseek
  0.46    0.290877           3     88422        18 lstat
  0.00    0.000883          11        81           madvise
  0.00    0.000005           3         2         2 mkdir
  0.01    0.005319           2      2227           mmap
  0.02    0.011686           2      5855           mprotect
  0.00    0.001771           2       760           munmap
  0.07    0.043489           3     14098       694 openat
  0.00    0.000068           4        16           pipe
  0.01    0.004158          67        62           poll
  0.00    0.000230           3        90           prctl
  0.00    0.000034           2        18           prlimit64
  0.08    0.052725           1     40793           read
  0.00    0.000126           3        49         2 readlink
  4.42    2.793035        2169      1288           recvfrom
  0.01    0.008585         859        10           recvmsg
  0.00    0.000289           2       127           rt_sigaction
  0.00    0.000595           2       344           rt_sigprocmask
  0.00    0.000381           4        88           rt_sigreturn
  0.00    0.000677           4       190           sched_getaffinity
  0.00    0.001389           3       480           sched_yield
  0.00    0.000011          11         1           sendmmsg
  0.06    0.040854          35      1153           sendto
  0.00    0.000250           3        97           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.03    0.020004         136       147           setsockopt
  0.00    0.000010          10         1           shutdown
  0.53    0.336815        3916        86           socket
  0.00    0.000033          17         2           socketpair
  0.99    0.625959           4    162848      3097 stat
  0.00    0.000042           8         5           sysinfo
  0.00    0.000008           2         5           uname
  0.00    0.000016           5         3           unlink
  0.00    0.001174           6       191           utimes
  0.60    0.376718       22160        17           wait4
  0.03    0.020354           1     14556           write
------ ----------- ----------- --------- --------- ----------------
100.00   63.218053                466982     12639 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000297           1       222        57 access
  0.00    0.000008           1         7           arch_prctl
  0.00    0.000020           7         3           bind
  0.00    0.000074           2        31           brk
  0.00    0.000008           2         5           chdir
  0.00    0.000013           3         4           clock_getres
  0.00    0.001111          10       109           clone
  0.06    0.030877           2     13315           close
  0.00    0.002315          25        92        73 connect
  0.00    0.000055           1        64           dup2
  0.00    0.000010           1        14         8 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000032           4         8           fchdir
