% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.01    0.004832          91        53           getsockopt
  0.00    0.000250           3        96           gettid
  0.00    0.000010           2         5           getuid
  0.00    0.000015           0        74         7 ioctl
  0.03    0.020509           1     28038        47 lseek
  0.49    0.300091           3     88434        18 lstat
  0.00    0.000591           7        82           madvise
  0.00    0.000009           5         2         2 mkdir
  0.01    0.006082           3      2243           mmap
  0.02    0.012815           2      5960           mprotect
  0.00    0.001238           2       754           munmap
  0.08    0.050353           4     14100       694 openat
  0.00    0.000073           5        16           pipe
  0.01    0.006433          95        68           poll
  0.00    0.000365           4        94           prctl
  0.00    0.000061           3        18           prlimit64
  0.10    0.062913           2     40887           read
  0.00    0.000104           2        49         2 readlink
  7.44    4.533454        3314      1368           recvfrom
  0.01    0.007835         784        10           recvmsg
  0.00    0.000163           1       127           rt_sigaction
  0.00    0.000833           2       361           rt_sigprocmask
  0.00    0.000176           2        92           rt_sigreturn
  0.00    0.000690           3       198           sched_getaffinity
  0.02    0.009636           5      1807           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.16    0.099199          85      1166           sendto
  0.00    0.000456           5       101           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.02    0.014691          92       159           setsockopt
  0.00    0.000004           4         1           shutdown
  0.32    0.195565        2197        89           socket
  0.00    0.000028          14         2           socketpair
  1.04    0.632306           4    162872      3097 stat
  0.00    0.000039           8         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000012           4         3           unlink
  0.00    0.000046           0       191           utimes
  0.63    0.382767       22516        17           wait4
  0.02    0.014626           1     14578           write
------ ----------- ----------- --------- --------- ----------------
100.00   60.917479                472203     13429 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000255           1       227        62 access
  0.00    0.000008           1         7           arch_prctl
  0.00    0.000006           2         3           bind
  0.00    0.000055           2        32           brk
  0.00    0.000006           1         5           chdir
  0.00    0.000015           4         4           clock_getres
  0.00    0.001337          12       113           clone
  0.05    0.028369           2     13319           close
  0.01    0.007485          76        98        78 connect
  0.00    0.000005           0        68           dup2
  0.00    0.000014           1        15         8 execve
  0.00    0.000010           5         2           faccessat
  0.00    0.000018           2         8           fchdir
  0.05    0.024439           8      3087           fcntl
  0.05    0.024501           1     16803           fstat
  0.00    0.000068          11         6           ftruncate
 84.44   45.246840         899     50358      8326 futex
  0.00    0.000009           1         9           getcwd
  0.17    0.089275           5     19482           getdents
  0.00    0.000004           1         3           getegid
  0.00    0.000029           2        15           geteuid
  0.00    0.000004           1         3           getgid
  0.00    0.000017           2         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001972          32        62         2 getsockname
  0.01    0.005178          98        53           getsockopt
  0.00    0.000422           4        96           gettid
  0.00    0.000010           2         5           getuid
  0.00    0.000068           1        87         7 ioctl
  0.03    0.014370           1     28004        47 lseek
  0.44    0.234397           3     88438        18 lstat
  0.00    0.000314           3        90           madvise
  0.00    0.000006           3         2         2 mkdir
