% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000221           1       227        62 access
  0.00    0.000013           2         7           arch_prctl
  0.00    0.000015           4         4           bind
  0.00    0.000073           2        34           brk
  0.00    0.000007           1         5           chdir
  0.00    0.000012           3         4           clock_getres
  0.00    0.001097           9       129           clone
  0.05    0.029047           2     13334           close
  0.01    0.008787          81       108        91 connect
  0.00    0.000206           2        84           dup2
  0.00    0.000005           0        21        14 execve
  0.00    0.000011           6         2           faccessat
  0.00    0.000034           4         8           fchdir
  0.03    0.016649           5      3151           fcntl
  0.04    0.025608           2     16804           fstat
  0.00    0.000052           9         6           ftruncate
 88.37   53.522838        1060     50481      7987 futex
  0.00    0.000023           3         9           getcwd
  0.16    0.094170           5     19482           getdents
  0.00    0.000007           2         3           getegid
  0.00    0.000042           3        15           geteuid
  0.00    0.000006           2         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000004           2         2           getppid
  0.00    0.001390          18        79         2 getsockname
  0.01    0.004891          71        69           getsockopt
  0.00    0.000297           3       112           gettid
  0.00    0.000013           3         5           getuid
  0.00    0.000020           0        77         7 ioctl
  0.04    0.023404           1     28004        47 lseek
  0.40    0.241209           3     88466        18 lstat
  0.00    0.001138          12        98           madvise
  0.00    0.000012           6         2         2 mkdir
  0.01    0.006846           3      2304           mmap
  0.03    0.018475           3      6276           mprotect
  0.00    0.001571           2       790           munmap
  0.06    0.039254           3     14096       694 openat
  0.00    0.000074           5        16           pipe
  0.01    0.006405          76        84           poll
  0.00    0.000393           4       110           prctl
  0.00    0.000049           3        18           prlimit64
  0.10    0.062622           2     40807           read
  0.00    0.000059           1        49         2 readlink
  7.86    4.763100        3417      1394           recvfrom
  0.01    0.008329         833        10           recvmsg
  0.00    0.000134           1       127           rt_sigaction
  0.00    0.000930           2       425           rt_sigprocmask
  0.00    0.000118           1        98           rt_sigreturn
  0.00    0.000938           4       230           sched_getaffinity
  0.01    0.004980           2      2056           sched_yield
  0.00    0.000008           8         1           sendmmsg
  0.09    0.056314          46      1214           sendto
  0.00    0.000351           3       117           set_robust_list
  0.00    0.000003           1         3           set_tid_address
  0.03    0.016667          81       207           setsockopt
  0.00    0.000002           2         1           shutdown
  1.13    0.682511        6439       106           socket
  0.00    0.000005           3         2           socketpair
  0.85    0.512889           3    162936      3097 stat
  0.00    0.000029           6         5           sysinfo
  0.00    0.000024           5         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000478           3       191           utimes
  0.66    0.397100       23359        17           wait4
  0.02    0.014069           1     14658           write
------ ----------- ----------- --------- --------- ----------------
100.00   60.566038                469200     12023 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000250           1       227        62 access
  0.00    0.000004           1         7           arch_prctl
  0.00    0.000006           2         3           bind
  0.00    0.000030           1        32           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000008           2         4           clock_getres
  0.00    0.000939           7       129           clone
  0.04    0.024532           2     13335           close
  0.00    0.002751          24       114        94 connect
  0.00    0.000221           3        84           dup2
  0.00    0.000000           0        21        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000013           2         8           fchdir
  0.02    0.011982           4      3151           fcntl
  0.04    0.022415           1     16803           fstat
  0.00    0.000027           5         6           ftruncate
 85.58   48.479767         931     52077      9180 futex
  0.00    0.000004           0         9           getcwd
  0.15    0.084228           4     19482           getdents
  0.00    0.000004           1         3           getegid
  0.00    0.000018           1        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000006           1         9           getpid
  0.00    0.000000           0         2           getppid
