% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000292           1       227        62 access
  0.00    0.000018           3         7           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000057           2        32           brk
  0.00    0.000006           1         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.001782          15       121           clone
  0.05    0.032178           2     13324           close
  0.00    0.001246          13        98        82 connect
  0.00    0.000168           2        76           dup2
  0.00    0.000060           4        15         8 execve
  0.00    0.000018           9         2           faccessat
  0.00    0.000014           2         8           fchdir
  0.01    0.008114           3      3119           fcntl
  0.04    0.026122           2     16803           fstat
  0.00    0.000021           4         6           ftruncate
 85.60   60.028801        1182     50793      8221 futex
  0.00    0.000016           2         9           getcwd
  0.13    0.094083           5     19482           getdents
  0.00    0.000008           3         3           getegid
  0.00    0.000038           3        15           geteuid
  0.00    0.000009           3         3           getgid
  0.00    0.000024           3         9           getpid
  0.00    0.000009           5         2           getppid
  0.00    0.001208          17        71         2 getsockname
  0.00    0.001803          30        61           getsockopt
  0.00    0.000266           3       104           gettid
  0.00    0.000018           4         5           getuid
  0.00    0.000000           0        74         7 ioctl
  0.03    0.021687           1     28006        47 lseek
  0.37    0.262191           3     88446        18 lstat
  0.00    0.000628           6        97           madvise
  0.00    0.000005           3         2         2 mkdir
  0.01    0.007805           3      2271           mmap
  0.02    0.010627           2      5812           mprotect
  0.00    0.001462           2       780           munmap
  0.05    0.038514           3     14095       694 openat
  0.00    0.000075           5        16           pipe
  0.00    0.000371           5        76           poll
  0.00    0.000469           5       102           prctl
  0.00    0.000053           3        18           prlimit64
  0.06    0.042083           1     40839           read
  0.00    0.000093           2        49         2 readlink
 11.71    8.209484        5881      1396           recvfrom
  0.01    0.008368         837        10           recvmsg
  0.00    0.000189           1       127           rt_sigaction
  0.00    0.000885           2       392           rt_sigprocmask
  0.00    0.000125           2        71           rt_sigreturn
  0.00    0.001268           6       214           sched_getaffinity
  0.00    0.001912           5       410           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.05    0.034171          29      1190           sendto
  0.00    0.000402           4       109           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.01    0.003778          21       183           setsockopt
  0.00    0.000001           1         1           shutdown
  0.40    0.281725        2904        97           socket
  0.00    0.000039          20         2           socketpair
  0.81    0.567407           3    162896      3097 stat
  0.00    0.000043           9         5           sysinfo
  0.00    0.000007           1         5           uname
  0.00    0.000000           0         3           unlink
  0.00    0.000923           5       191           utimes
  0.59    0.413470       24322        17           wait4
  0.03    0.019128           1     14618           write
------ ----------- ----------- --------- --------- ----------------
100.00   70.125802                467032     12242 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000217           1       223        58 access
  0.00    0.000004           1         7           arch_prctl
  0.00    0.000011           3         4           bind
  0.00    0.000063           2        31           brk
