% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000261           1       227        62 access
  0.00    0.000003           0         7           arch_prctl
  0.00    0.000027           7         4           bind
  0.00    0.000030           1        34           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000000           0         4           clock_getres
  0.00    0.001688          14       117           clone
  0.05    0.031033           2     13326           close
  0.00    0.002917          30        98        80 connect
  0.00    0.000089           1        72           dup2
  0.00    0.000043           2        21        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000000           0         8           fchdir
  0.02    0.012503           4      3103           fcntl
  0.05    0.027766           2     16807           fstat
  0.00    0.000002           0         6           ftruncate
 89.77   54.782064        1071     51165      8322 futex
  0.00    0.000011           1         9           getcwd
  0.17    0.102256           5     19482           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000000           0        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000000           0         9           getpid
  0.00    0.000000           0         2           getppid
  0.01    0.005847          87        67         2 getsockname
  0.00    0.001448          25        57           getsockopt
  0.00    0.000313           3       100           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000028           0        80         7 ioctl
  0.03    0.020581           1     28036        47 lseek
  0.43    0.263700           3     88436        18 lstat
  0.00    0.001321          14        96           madvise
  0.00    0.000000           0         2         2 mkdir
  0.01    0.004660           2      2255           mmap
  0.02    0.014297           2      5784           mprotect
  0.00    0.001290           2       771           munmap
  0.07    0.040098           3     14099       694 openat
  0.00    0.000006           0        16           pipe
  0.01    0.003127          43        72           poll
  0.00    0.000418           4        98           prctl
  0.00    0.000008           0        18           prlimit64
  0.09    0.054191           1     40850           read
  0.00    0.000043           1        49         2 readlink
  7.29    4.446803        3114      1428           recvfrom
  0.03    0.016655        1666        10           recvmsg
  0.00    0.000049           0       127           rt_sigaction
  0.00    0.000935           2       377           rt_sigprocmask
  0.00    0.000109           1        84           rt_sigreturn
  0.00    0.000900           4       206           sched_getaffinity
  0.02    0.011550           5      2122           sched_yield
  0.00    0.000062          62         1           sendmmsg
  0.14    0.083729          71      1178           sendto
  0.00    0.000380           4       105           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.01    0.007947          46       171           setsockopt
  0.00    0.000000           0         1           shutdown
  0.14    0.084427         889        95           socket
  0.00    0.000000           0         2           socketpair
  0.91    0.556376           3    162876      3097 stat
  0.00    0.000010           2         5           sysinfo
  0.00    0.000014           3         5           uname
  0.00    0.000047          16         3           unlink
  0.00    0.000458           2       191           utimes
  0.68    0.413581       24328        17           wait4
  0.05    0.029198           2     14591           write
------ ----------- ----------- --------- --------- ----------------
100.00   61.025308                469018     12347 total
